"Total EMTRs by Industry, Legal Form, and Financing Source, 2023 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
,Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz)
Farms,22.37,10.92,19.01,15.47,6.62,12.81,20.4,9.66,17.23
"Forestry, Fishing, and Related Activities",22.43,10.99,19.07,15.56,6.72,12.9,20.47,9.74,17.3
Oil and Gas Extraction,22.42,10.98,19.07,15.56,6.72,12.89,20.47,9.73,17.29
Mining (Except Oil and Gas),22.43,10.99,19.07,15.56,6.72,12.9,20.47,9.74,17.3
Support Activities for Mining,22.28,10.81,18.91,15.34,6.47,12.67,20.3,9.54,17.12
Utilities,26.54,16.69,23.62,21.66,14.83,19.58,25.13,16.13,22.44
Construction,22.37,10.92,19.01,15.47,6.62,12.81,20.4,9.66,17.23
"Food, Beverage, and Tobacco Product Manufacturing",22.41,10.97,19.06,15.54,6.7,12.88,20.45,9.72,17.28
Textile and Textile Product Mills,22.41,10.96,19.05,15.53,6.69,12.87,20.45,9.71,17.28
"Apparel, Leather, and Allied Products Manufacturing",22.39,10.94,19.04,15.51,6.66,12.85,20.43,9.69,17.26
Wood Product Manufacturing,22.45,11.01,19.1,15.59,6.76,12.93,20.5,9.76,17.33
Paper Manufacturing,22.43,10.98,19.07,15.56,6.72,12.9,20.47,9.73,17.3
Printing and Related Support Activities,22.43,10.99,19.08,15.57,6.73,12.91,20.48,9.74,17.31
Petroleum and Coal Products Manufacturing,22.47,11.05,19.12,15.64,6.81,12.98,20.53,9.81,17.36
Chemical Manufacturing,22.49,11.16,19.17,15.52,6.7,12.87,20.51,9.86,17.36
Plastics and Rubber Products Manufacturing,22.43,10.98,19.07,15.56,6.72,12.9,20.47,9.73,17.3
Nonmetallic Mineral Product Manufacturing,22.46,11.03,19.11,15.62,6.79,12.96,20.51,9.79,17.34
Primary Metal Manufacturing,22.39,10.95,19.04,15.52,6.67,12.86,20.43,9.7,17.26
Fabricated Metal Product Manufacturing,22.39,10.95,19.04,15.52,6.67,12.85,20.43,9.7,17.26
Machinery Manufacturing,21.97,11.37,18.84,14.95,7.18,12.59,19.97,10.14,17.04
Computer and Electronic Product Manufacturing,7.37,-6.82,3.22,-1.81,-12.3,-4.97,4.77,-8.42,0.88
"Electrical Equipment, Appliances, and Components Manufacturing",22.01,11.4,18.88,15.0,7.23,12.64,20.01,10.18,17.09
Motor Vehicle and Parts Manufacturing,22.21,10.62,18.81,15.4,6.51,12.73,20.27,9.41,17.06
Other Transportation Equipment Manufacturing,22.41,10.96,19.06,15.55,6.71,12.89,20.46,9.72,17.28
Furniture and Related Products Manufacturing,22.44,11.0,19.08,15.58,6.74,12.92,20.48,9.75,17.31
