"Values by Industry and Asset Aggregate, 2022 (Percent)"
,Nonresidential equipment,Nonresidential structures,Residential property,R&D and own-account software,Other intellectual property products,Inventories,"All equipment, structures, IPP, and inventories",Land,"All equipment, structures, IPP, inventories, and land"
Farms,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
"Forestry, Fishing, and Related Activities",4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Oil and Gas Extraction,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Mining (Except Oil and Gas),4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Support Activities for Mining,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Utilities,26.44,20.99,22.11,-6.45,26.0,28.19,21.97,25.87,22.6
Construction,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
"Food, Beverage, and Tobacco Product Manufacturing",4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Textile and Textile Product Mills,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
"Apparel, Leather, and Allied Products Manufacturing",4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Wood Product Manufacturing,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Paper Manufacturing,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Printing and Related Support Activities,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Petroleum and Coal Products Manufacturing,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Chemical Manufacturing,4.56,17.91,21.97,-2.93,8.24,28.19,15.42,25.87,17.33
Plastics and Rubber Products Manufacturing,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Nonmetallic Mineral Product Manufacturing,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Primary Metal Manufacturing,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Fabricated Metal Product Manufacturing,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Machinery Manufacturing,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Computer and Electronic Product Manufacturing,4.56,17.91,21.97,-10.88,8.24,28.19,15.11,25.87,17.09
"Electrical Equipment, Appliances, and Components Manufacturing",4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Motor Vehicle and Parts Manufacturing,4.56,17.91,21.97,-12.6,8.24,28.19,15.04,25.87,17.04
Other Transportation Equipment Manufacturing,4.56,17.91,21.97,-6.68,8.24,28.19,15.27,25.87,17.22
Furniture and Related Products Manufacturing,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Miscellaneous Manufacturing,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Wholesale Trade,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Retail Trade,4.56,17.66,21.97,-6.45,8.24,28.19,15.16,25.87,17.13
Air Transportation,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
