"Key Model Metrics, by Asset Aggregate, Legal Form, and Financing Source, 2021 - 2031 (returns and EMTRs are in percent; tax wedges are in percentage points; weights are in millions of dollars)"
weighting_method,asset_aggs,legal_forms,financing,year,req_before_tax_returns,req_after_tax_returns_savers,total_tax_wedges,total_EMTRs,req_after_tax_returns_investors,c_corp_tax_wedges,c_corp_EMTRs,weights
uniformity,Nonresidential equipment,c_corp,new_equity,2021,4.71,3.98,0.73,15.57,4.61,0.1,2.1,611115.05
uniformity,Nonresidential equipment,c_corp,new_equity,2022,4.72,3.97,0.75,15.94,4.61,0.11,2.39,611115.05
uniformity,Nonresidential equipment,c_corp,new_equity,2023,4.86,3.98,0.88,18.06,4.61,0.25,5.05,611115.05
uniformity,Nonresidential equipment,c_corp,new_equity,2024,4.99,3.98,1.01,20.22,4.61,0.38,7.57,611115.05
uniformity,Nonresidential equipment,c_corp,new_equity,2025,5.12,3.98,1.14,22.31,4.61,0.51,9.96,611115.05
uniformity,Nonresidential equipment,c_corp,new_equity,2026,5.25,3.97,1.28,24.39,4.61,0.64,12.22,611115.05
uniformity,Nonresidential equipment,c_corp,new_equity,2027,5.39,3.98,1.41,26.14,4.61,0.77,14.38,611115.05
uniformity,Nonresidential equipment,c_corp,new_equity,2028,5.39,3.97,1.41,26.27,4.61,0.77,14.38,611115.05
uniformity,Nonresidential equipment,c_corp,new_equity,2029,5.39,3.97,1.41,26.26,4.61,0.77,14.38,611115.05
uniformity,Nonresidential equipment,c_corp,new_equity,2030,5.39,3.97,1.41,26.26,4.61,0.77,14.38,611115.05
uniformity,Nonresidential equipment,c_corp,new_equity,2031,5.39,3.97,1.42,26.28,4.61,0.77,14.38,611115.05
uniformity,Nonresidential equipment,c_corp,retained_earnings,2021,4.71,4.15,0.56,11.94,4.61,0.1,2.1,2444460.19
uniformity,Nonresidential equipment,c_corp,retained_earnings,2022,4.72,4.14,0.58,12.28,4.61,0.11,2.39,2444460.19
uniformity,Nonresidential equipment,c_corp,retained_earnings,2023,4.86,4.15,0.71,14.54,4.61,0.25,5.05,2444460.19
