"Total EMTRs by Asset Type, Legal Form, and Financing Source, 2025 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
,Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz)
Computers and peripheral equipment,22.89,6.54,18.26,15.86,2.3,11.9,20.54,5.08,16.11
Communication equipment,17.71,1.35,13.04,9.13,-6.29,4.65,14.86,-1.24,10.23
Nonelectronic medical instruments,18.29,1.95,13.62,9.92,-5.24,5.51,15.5,-0.49,10.91
Electronic medical instruments,20.07,3.94,15.48,12.4,-2.06,8.19,17.51,1.89,13.03
Nonmedical instruments,18.23,1.89,13.57,9.84,-5.34,5.42,15.43,-0.56,10.84
Photocopy and related equipment,18.3,1.65,13.56,9.7,-5.49,5.28,15.44,-0.77,10.79
Office and accounting equipment,22.2,5.79,17.55,14.94,1.13,10.91,19.77,4.19,15.31
Nuclear fuel,26.01,9.9,21.46,19.96,7.43,16.29,23.97,9.04,19.7
Other fabricated metal products,16.71,0.2,11.99,7.7,-8.09,3.11,13.72,-2.59,9.03
Steam engines,19.73,4.07,15.25,12.29,-2.59,7.97,17.24,1.81,12.8
Internal combustion engines,20.97,4.94,16.41,13.64,-0.48,9.52,18.52,3.09,14.08
Metalworking machinery,17.71,1.28,13.02,9.12,-6.27,4.64,14.85,-1.27,10.22
"Special industrial machinery, n.e.c.",16.77,0.22,12.04,7.78,-7.98,3.21,13.79,-2.54,9.1
General industrial equipment,17.03,0.53,12.32,8.16,-7.5,3.61,14.08,-2.18,9.41
"Electric transmission, distribution and industrial apparatus",19.79,4.08,15.3,12.37,-2.61,8.02,17.31,1.81,12.85
Light trucks (including utility vehicles),18.79,2.16,14.06,10.36,-4.66,5.99,15.98,-0.16,11.35
"Other trucks, buses, and truck trailers",18.83,2.2,14.1,10.41,-4.59,6.05,16.03,-0.1,11.4
Autos,19.0,2.39,14.27,10.64,-4.29,6.3,16.22,0.12,11.6
Aircraft,15.99,-0.79,11.2,6.53,-9.53,1.87,12.86,-3.73,8.1
Ships and boats,17.39,1.15,12.74,8.79,-6.85,4.25,14.53,-1.55,9.91
Railroad equipment,15.76,-0.84,11.01,6.35,-9.86,1.65,12.64,-3.87,7.9
Household furniture,18.36,2.04,13.71,10.03,-5.1,5.63,15.59,-0.38,11.0
Other furniture and fixtures,18.07,1.74,13.4,9.63,-5.65,5.19,15.26,-0.76,10.65
Other agricultural machinery,17.59,1.18,12.91,8.94,-6.48,4.46,14.72,-1.41,10.08
Farm tractors,18.66,2.36,14.01,10.43,-4.57,6.07,15.92,0.01,11.35
Other construction machinery,18.78,2.51,14.14,10.61,-4.35,6.26,16.06,0.18,11.5
Construction tractors,19.34,3.13,14.72,11.39,-3.35,7.1,16.69,0.92,12.16
Mining and oilfield machinery,18.8,2.52,14.15,10.63,-4.32,6.28,16.07,0.2,11.51
Service industry machinery,18.91,2.64,14.27,10.78,-4.13,6.44,16.2,0.34,11.64
Household appliances,19.56,3.37,14.95,11.7,-2.96,7.43,16.94,1.21,12.42
"Other electrical equipment, n.e.c",20.07,3.93,15.47,12.39,-2.07,8.18,17.5,1.88,13.01
Other nonresidential equipment,18.7,2.42,14.06,10.5,-4.49,6.14,15.97,0.07,11.4
Office and medical buildings,29.22,15.65,25.32,25.61,13.2,22.0,27.98,14.79,24.18
Hospitals and special care facilities,28.26,14.37,24.28,24.23,11.33,20.48,26.88,13.31,22.97
Warehouses,28.84,15.14,24.91,25.06,12.45,21.39,27.54,14.2,23.7
Mobile structures,15.67,-0.94,10.92,6.22,-10.03,1.51,12.54,-3.99,7.79
Other commercial buildings,29.49,16.01,25.62,26.01,13.73,22.43,28.29,15.22,24.52
Manufacturing buildings,30.52,17.36,26.74,27.47,15.62,24.01,29.47,16.75,25.8
Regulated electric power structures,22.76,7.5,18.4,16.47,1.88,12.24,20.64,5.58,16.32
Unregulated electric power structures,18.44,2.48,13.87,10.37,-5.26,5.84,15.75,-0.14,11.18
Regulated wind and solar power structures,-106.52,-175.35,-124.72,-159.86,-246.71,-182.81,-122.76,-197.06,-142.4
Unregulated wind and solar power structures,-112.89,-183.81,-131.64,-171.66,-263.82,-195.94,-130.6,-207.85,-151.0
Gas power structures,18.85,2.97,14.31,10.99,-4.5,6.5,16.22,0.44,11.69
Petroleum pipelines,17.46,1.29,12.83,8.92,-6.97,4.32,14.62,-1.5,9.99
Communication structures,17.48,1.3,12.85,8.94,-6.96,4.34,14.64,-1.48,10.01
Depreciable petroleum and natural gas structures,16.51,0.0,11.8,7.43,-8.47,2.82,13.5,-2.85,8.8
Depreciable mining structures,15.13,-1.54,10.36,5.45,-11.02,0.68,11.93,-4.72,7.15
Religious buildings,28.4,14.55,24.43,24.42,11.6,20.7,27.04,13.52,23.14
Educational and vocational buildings,28.26,14.37,24.28,24.23,11.33,20.48,26.88,13.31,22.97
Lodging buildings,30.14,16.85,26.32,26.92,14.9,23.42,29.03,16.17,25.32
Amusement and recreation buildings,30.44,17.25,26.65,27.35,15.47,23.89,29.37,16.63,25.69
Track replacement,14.36,-2.4,9.56,4.34,-12.46,-0.52,11.05,-5.76,6.22
Other railroad structures,18.23,2.21,13.65,10.05,-5.7,5.49,15.5,-0.46,10.92
Other transportation structures,28.05,14.24,24.09,24.04,11.3,20.33,26.68,13.22,22.8
Farm buildings,19.38,3.61,14.87,11.74,-3.59,7.29,16.82,1.17,12.32
Water supply and sewer and waste disposal facilities,20.13,4.56,15.67,12.86,-2.22,8.49,17.69,2.26,13.25
"Public safety, highways, conservation, and development",17.83,1.71,13.22,9.45,-6.38,4.86,15.04,-1.02,10.42
Oil and gas exploration (geological and geophysical)--integrated,22.43,7.17,18.06,16.03,2.05,11.96,20.27,5.41,16.0
Oil and gas exploration (geological and geophysical)--independent,14.92,-1.98,10.1,5.0,-11.5,0.22,11.65,-5.17,6.82
Oil and gas development (intangible drilling costs)--integrated,13.73,-3.39,8.84,3.22,-13.65,-1.67,10.27,-6.81,5.37
Oil and gas development (intangible drilling costs)--independent,10.83,-6.88,5.77,-1.23,-19.14,-6.41,6.89,-10.94,1.78
Other mineral exploration--C corps,22.24,6.94,17.86,15.75,1.41,11.58,20.05,5.05,15.74
Other mineral exploration--pass-throughs,22.24,6.94,17.86,15.75,1.41,11.58,20.05,5.05,15.74
Other mineral development--C corps,13.04,-4.01,8.16,2.34,-14.78,-2.62,9.52,-7.6,4.6
Other mineral development--pass-throughs,10.91,-6.51,5.93,-0.88,-18.66,-6.03,7.05,-10.53,2.0
Prepackaged software,28.03,11.83,23.47,21.6,9.56,18.07,25.87,11.04,21.64
Custom software,21.94,5.52,17.28,14.08,0.13,10.01,19.32,3.67,14.84
Credit-eligible own account software,-74.7,-191.85,-100.81,-116.85,-239.87,-145.66,-87.65,-207.27,-114.73
Other own-account software,34.54,21.61,30.84,32.03,22.3,29.16,33.67,21.86,30.25
Credit-eligible research and development,-21.91,-61.42,-32.41,-41.63,-81.23,-52.42,-28.25,-67.94,-38.89
Other research and development,25.64,10.97,21.45,20.28,7.64,16.58,23.82,9.82,19.79
Theatrical movies,25.95,11.58,21.83,20.93,8.19,17.21,24.24,10.4,20.25
Long-lived television programs,30.13,16.67,26.27,26.6,15.48,23.34,28.92,16.25,25.25
Books,27.86,13.93,23.87,23.57,11.6,20.06,26.39,13.12,22.56
Music,33.18,20.23,29.47,30.49,20.42,27.52,32.25,20.29,28.79
Other entertainment originals,26.88,12.73,22.82,22.22,9.86,18.61,25.29,11.73,21.38
Reserved for non-BEA intangibles,30.0,16.59,26.16,26.59,13.71,22.86,28.83,15.59,25.02
Reserved for non-BEA intangibles,30.0,16.59,26.16,26.59,13.71,22.86,28.83,15.59,25.02
Residential equipment,18.79,2.6,14.17,10.19,-4.79,5.83,15.93,0.1,11.38
Residential buildings,27.62,13.56,23.6,23.2,10.2,19.42,26.11,12.39,22.16
Inventories,32.69,20.67,29.22,27.18,15.19,23.69,30.83,18.81,27.35
Land,30.0,16.58,26.15,26.58,13.71,22.86,28.83,15.58,25.02
Reserved for non-BEA natural resources,30.0,16.59,26.16,26.59,13.71,22.86,28.83,15.59,25.02
Reserved for non-BEA natural resources,30.0,16.59,26.16,26.59,13.71,22.86,28.83,15.59,25.02
Reserved for non-BEA natural resources,30.0,16.59,26.16,26.59,13.71,22.86,28.83,15.59,25.02
Nonresidential equipment,18.22,1.81,13.41,9.89,-5.35,5.34,16.53,0.33,11.76
Nonresidential structures,25.08,10.57,20.72,20.18,6.66,16.06,23.97,9.67,19.66
Residential property,27.49,13.4,23.09,23.02,9.98,18.89,24.2,10.87,20.0
R&D and own-account software,-9.26,-41.21,-16.21,-23.99,-54.37,-30.8,-10.06,-41.95,-17.01
Other intellectual property products,26.8,11.88,22.89,21.13,8.86,17.82,26.35,11.63,22.48
"All equipment, structures, IPP, and inventories",23.19,7.92,18.83,17.23,3.01,13.11,21.5,6.51,17.2
"All equipment, structures, IPP, inventories, and land",24.81,10.0,20.58,19.48,5.59,15.45,23.0,8.48,18.83
"All equipment, structures, and inventories",25.05,10.56,20.81,19.48,5.9,15.45,23.3,9.08,19.13
"All equipment, structures, inventories, and land",26.3,12.09,22.16,21.29,7.9,17.34,24.46,10.53,20.38
