"Values by Industry and Asset Aggregate, 2023 (Percent)"
,Nonresidential equipment,Nonresidential structures,Residential property,R&D and own-account software,Other intellectual property products,Inventories,"All equipment, structures, IPP, and inventories",Land,"All equipment, structures, IPP, inventories, and land"
Farms,9.03,19.51,22.18,-4.72,14.59,28.79,17.23,26.56,18.87
"Forestry, Fishing, and Related Activities",9.41,19.51,22.18,-4.72,14.59,28.79,17.3,26.56,18.93
Oil and Gas Extraction,9.41,19.5,22.18,-4.72,14.59,28.79,17.29,26.56,18.92
Mining (Except Oil and Gas),9.41,19.51,22.18,-4.72,14.59,28.79,17.3,26.56,18.93
Support Activities for Mining,9.02,19.29,22.18,-4.72,14.59,28.79,17.12,26.56,18.78
Utilities,27.12,21.61,21.9,-5.38,27.23,28.27,22.44,26.13,22.98
Construction,9.03,19.51,22.18,-4.72,14.59,28.79,17.23,26.56,18.87
"Food, Beverage, and Tobacco Product Manufacturing",9.32,19.51,22.18,-4.72,14.59,28.79,17.28,26.56,18.91
Textile and Textile Product Mills,9.28,19.51,22.18,-4.72,14.59,28.79,17.28,26.56,18.91
"Apparel, Leather, and Allied Products Manufacturing",9.19,19.51,22.18,-4.72,14.59,28.79,17.26,26.56,18.89
Wood Product Manufacturing,9.56,19.51,22.18,-4.72,14.59,28.79,17.33,26.56,18.95
Paper Manufacturing,9.41,19.51,22.18,-4.72,14.59,28.79,17.3,26.56,18.92
Printing and Related Support Activities,9.44,19.51,22.18,-4.72,14.59,28.79,17.31,26.56,18.93
Petroleum and Coal Products Manufacturing,9.72,19.51,22.18,-4.72,14.59,28.79,17.36,26.56,18.97
Chemical Manufacturing,9.02,19.51,22.18,-1.43,14.59,28.79,17.36,26.56,18.97
Plastics and Rubber Products Manufacturing,9.4,19.51,22.18,-4.72,14.59,28.79,17.3,26.56,18.92
Nonmetallic Mineral Product Manufacturing,9.64,19.51,22.18,-4.72,14.59,28.79,17.34,26.56,18.96
Primary Metal Manufacturing,9.21,19.51,22.18,-4.72,14.59,28.79,17.26,26.56,18.9
Fabricated Metal Product Manufacturing,9.2,19.51,22.18,-4.72,14.59,28.79,17.26,26.56,18.89
Machinery Manufacturing,9.42,19.3,21.8,-5.38,14.65,28.27,17.04,26.13,18.63
Computer and Electronic Product Manufacturing,-70.26,5.06,21.8,-9.95,14.65,28.27,0.88,26.13,6.41
"Electrical Equipment, Appliances, and Components Manufacturing",9.65,19.3,21.8,-5.38,14.65,28.27,17.09,26.13,18.66
Motor Vehicle and Parts Manufacturing,9.4,19.51,22.18,-10.59,14.59,28.79,17.06,26.56,18.74
Other Transportation Equipment Manufacturing,9.38,19.51,22.18,-4.95,14.59,28.79,17.28,26.56,18.91
Furniture and Related Products Manufacturing,9.48,19.51,22.18,-4.72,14.59,28.79,17.31,26.56,18.94
Miscellaneous Manufacturing,9.2,19.51,22.18,-4.72,14.59,28.79,17.26,26.56,18.9
Wholesale Trade,9.04,19.51,22.18,-4.72,14.59,28.79,17.23,26.56,18.87
Retail Trade,9.22,19.3,22.18,-4.72,14.59,28.79,17.16,26.56,18.82
Air Transportation,9.4,19.51,22.18,-4.72,14.59,28.79,17.3,26.56,18.92
Rail Transportation,9.41,19.51,22.18,-4.72,14.59,28.79,17.3,26.56,18.93
Water Transportation,10.95,19.51,22.18,-4.72,14.59,28.79,17.59,26.56,19.16
Truck Transportation,9.02,19.51,22.18,-4.72,14.59,28.79,17.23,26.56,18.87
Transit and Ground Passenger Transportation,8.99,19.51,22.18,-4.72,14.59,28.79,17.22,26.56,18.86
Pipeline Transportation,10.95,19.51,22.18,-4.72,14.59,28.79,17.59,26.56,19.16
Other Transportation and Support Activities,9.03,19.51,22.18,-4.72,14.59,28.79,17.23,26.56,18.87
Warehousing and Storage,9.03,19.51,22.18,-4.72,14.59,28.79,17.23,26.56,18.87
Publishing Industries (Except Internet),9.41,19.51,22.18,-5.07,14.59,28.79,17.29,26.56,18.91
Motion Picture and Sound Recording Industries,9.09,19.51,22.18,-4.72,14.59,28.79,17.24,26.56,18.88
Broadcasting (Except Internet) and Telecommunications,9.54,17.43,22.18,-4.72,14.59,28.79,16.37,26.56,18.19
"Data Processing, Hosting, and Other Information Services",9.03,19.51,22.18,-4.72,14.59,28.79,17.23,26.56,18.87
Credit Intermediation and Related Activities,9.02,19.51,22.18,-4.72,14.59,28.79,17.23,26.56,18.87
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",9.03,19.51,22.18,-4.72,14.59,28.79,17.23,26.56,18.87
Insurance Carriers and Related Activities,9.03,19.51,22.18,-4.72,14.59,28.79,17.23,26.56,18.87
"Funds, Trusts, and Other Financial Vehicles",8.99,19.51,22.18,-4.72,14.59,28.79,17.22,26.56,18.86
Real Estate,9.03,19.51,22.18,-4.72,14.59,28.79,17.23,26.56,18.87
Rental and Leasing (Including Nonfinancial Intangibles),9.12,19.51,22.18,-4.72,14.59,28.79,17.25,26.56,18.88
