"Total EMTRs by Industry, Legal Form, and Financing Source, 2022 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
,Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz)
Farms,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
"Forestry, Fishing, and Related Activities",19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Oil and Gas Extraction,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Mining (Except Oil and Gas),19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Support Activities for Mining,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Utilities,25.64,15.94,22.76,22.89,13.48,20.09,24.83,15.21,21.97
Construction,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
"Food, Beverage, and Tobacco Product Manufacturing",19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Textile and Textile Product Mills,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
"Apparel, Leather, and Allied Products Manufacturing",19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Wood Product Manufacturing,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Paper Manufacturing,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Printing and Related Support Activities,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Petroleum and Coal Products Manufacturing,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Chemical Manufacturing,20.13,9.63,17.02,14.72,3.81,11.48,18.57,7.94,15.42
Plastics and Rubber Products Manufacturing,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Nonmetallic Mineral Product Manufacturing,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
