"Total EMTRs by Industry, Legal Form, and Financing Source, 2024 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
,Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz)
Farms,22.83,9.46,18.99,16.64,5.67,13.41,21.11,8.38,17.43
"Forestry, Fishing, and Related Activities",22.94,9.59,19.1,16.79,5.85,13.56,21.23,8.52,17.55
Oil and Gas Extraction,22.93,9.57,19.09,16.77,5.83,13.55,21.22,8.51,17.54
Mining (Except Oil and Gas),20.4,6.29,16.36,13.75,2.12,10.33,18.56,5.1,14.67
Support Activities for Mining,22.54,9.12,18.68,16.23,5.21,12.98,20.79,8.0,17.09
Electric Power,23.63,10.3,19.8,17.76,6.84,14.55,21.99,9.31,18.33
Natural Gas Distribution,23.63,10.39,19.83,17.77,6.96,14.58,22.0,9.41,18.36
"Water, Sewage and Other Systems",23.76,10.61,19.98,17.97,7.27,14.81,22.14,9.65,18.53
Construction,22.83,9.46,18.99,16.64,5.67,13.41,21.11,8.38,17.43
Food Manufacturing,22.91,9.56,19.08,16.75,5.81,13.53,21.2,8.49,17.52
Beverage and Tobacco Products Manufacturing,22.89,9.54,19.06,16.73,5.78,13.5,21.18,8.47,17.5
Textile and Textile Product Mills,22.91,9.55,19.07,16.74,5.8,13.52,21.19,8.48,17.52
"Apparel, Leather, and Allied Products Manufacturing",22.87,9.5,19.03,16.68,5.73,13.46,21.15,8.43,17.47
Wood Product Manufacturing,22.98,9.64,19.15,16.84,5.92,13.62,21.28,8.58,17.6
Paper Manufacturing,22.94,9.59,19.1,16.78,5.85,13.56,21.23,8.52,17.55
Printing and Related Support Activities,22.95,9.6,19.12,16.8,5.87,13.58,21.24,8.54,17.57
Petroleum and Coal Products Manufacturing,23.03,9.7,19.2,16.92,6.01,13.7,21.33,8.65,17.66
Chemical Manufacturing,22.84,9.53,19.02,16.6,5.65,13.37,21.11,8.43,17.44
Plastics and Rubber Products Manufacturing,22.94,9.58,19.1,16.78,5.84,13.56,21.22,8.52,17.55
Nonmetallic Mineral Product Manufacturing,22.97,9.63,19.14,16.83,5.91,13.61,21.26,8.57,17.59
Primary Metal Manufacturing,22.88,9.53,19.05,16.72,5.77,13.49,21.17,8.46,17.49
Fabricated Metal Product Manufacturing,22.88,9.53,19.05,16.71,5.76,13.49,21.17,8.45,17.49
Machinery Manufacturing,16.86,1.65,12.52,9.48,-3.16,5.77,14.82,0.28,10.64
Computer and Electronic Product Manufacturing,6.61,-11.87,1.38,-1.61,-16.83,-6.05,4.34,-13.28,-0.69
"Electrical Equipment, Appliances, and Components Manufacturing",-99.51,-181.87,-120.16,-158.35,-254.6,-183.01,-113.81,-199.93,-135.52
Motor Vehicle and Parts Manufacturing,10.84,-6.73,5.87,2.23,-12.43,-2.04,8.48,-8.34,3.68
Other Transportation Equipment Manufacturing,22.84,9.41,18.99,16.72,5.75,13.49,21.14,8.37,17.45
Furniture and Related Products Manufacturing,22.96,9.61,19.12,16.81,5.88,13.59,21.25,8.55,17.57
Medical Equipment and Supplies,22.85,9.48,19.01,16.66,5.7,13.43,21.13,8.4,17.44
