"Key Model Metrics, by Asset Aggregate, Legal Form, and Financing Source, 2023 - 2033 (returns and EMTRs are in percent; tax wedges are in percentage points; weights are in millions of dollars)"
weighting_method,asset_aggs,legal_forms,financing,year,req_before_tax_returns,req_after_tax_returns_savers,total_tax_wedges,total_EMTRs,req_after_tax_returns_investors,c_corp_tax_wedges,c_corp_EMTRs,weights
uniformity,Nonresidential equipment,c_corp,new_equity,2023,5.27,4.38,0.89,16.92,5.07,0.2,3.86,1527787.62
uniformity,Nonresidential equipment,c_corp,new_equity,2024,5.41,4.39,1.02,18.82,5.07,0.34,6.36,1527787.62
uniformity,Nonresidential equipment,c_corp,new_equity,2025,5.55,4.39,1.16,20.82,5.07,0.48,8.66,1527787.62
uniformity,Nonresidential equipment,c_corp,new_equity,2026,5.69,4.39,1.3,22.83,5.07,0.62,10.92,1527787.62
uniformity,Nonresidential equipment,c_corp,new_equity,2027,5.89,4.39,1.5,25.41,5.07,0.82,13.86,1527787.62
uniformity,Nonresidential equipment,c_corp,new_equity,2028,5.89,4.39,1.5,25.49,5.07,0.82,13.86,1527787.62
uniformity,Nonresidential equipment,c_corp,new_equity,2029,5.89,4.4,1.49,25.32,5.07,0.82,13.86,1527787.62
uniformity,Nonresidential equipment,c_corp,new_equity,2030,5.89,4.4,1.49,25.3,5.07,0.82,13.87,1527787.62
uniformity,Nonresidential equipment,c_corp,new_equity,2031,5.89,4.4,1.49,25.29,5.07,0.82,13.87,1527787.62
uniformity,Nonresidential equipment,c_corp,new_equity,2032,5.89,4.39,1.5,25.4,5.07,0.82,13.88,1527787.62
uniformity,Nonresidential equipment,c_corp,new_equity,2033,5.89,4.39,1.5,25.45,5.07,0.82,13.88,1527787.62
uniformity,Nonresidential equipment,c_corp,retained_earnings,2023,5.39,4.57,0.82,15.17,5.07,0.32,5.97,1527787.62
uniformity,Nonresidential equipment,c_corp,retained_earnings,2024,5.53,4.58,0.95,17.16,5.07,0.46,8.38,1527787.62
uniformity,Nonresidential equipment,c_corp,retained_earnings,2025,5.67,4.58,1.09,19.16,5.07,0.6,10.6,1527787.62
uniformity,Nonresidential equipment,c_corp,retained_earnings,2026,5.81,4.58,1.23,21.18,5.07,0.74,12.77,1527787.62
uniformity,Nonresidential equipment,c_corp,retained_earnings,2027,6.01,4.58,1.43,23.77,5.07,0.94,15.62,1527787.62
