"Total EMTRs by Asset Type, Legal Form, and Financing Source, 2022 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
,Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz)
Computers and peripheral equipment,12.02,0.54,8.59,2.62,-10.0,-1.15,8.97,-2.88,5.43
Communication equipment,11.51,-0.07,8.05,1.78,-11.06,-2.06,8.36,-3.63,4.78
Nonelectronic medical instruments,12.6,1.23,9.2,3.57,-8.88,-0.15,9.67,-2.06,6.16
Electronic medical instruments,14.09,3.04,10.79,6.04,-5.81,2.49,11.46,0.14,8.08
Nonmedical instruments,12.55,1.18,9.15,3.5,-8.97,-0.23,9.61,-2.12,6.1
Photocopy and related equipment,11.33,-0.28,7.86,1.48,-11.42,-2.37,8.14,-3.88,4.55
Office and accounting equipment,11.92,0.43,8.49,2.47,-10.19,-1.31,8.86,-3.01,5.31
Nuclear fuel,12.39,0.99,8.99,3.24,-9.24,-0.49,9.42,-2.34,5.91
Other fabricated metal products,12.11,0.64,8.68,2.75,-9.9,-1.03,9.07,-2.78,5.53
Steam engines,11.46,-0.14,8.0,1.67,-11.23,-2.18,8.29,-3.73,4.7
Internal combustion engines,13.61,2.45,10.27,5.24,-6.8,1.64,10.88,-0.57,7.45
Metalworking machinery,12.45,1.05,9.05,3.33,-9.18,-0.41,9.49,-2.27,5.98
"Special industrial machinery, n.e.c.",12.28,0.84,8.86,3.03,-9.55,-0.73,9.27,-2.54,5.75
General industrial equipment,12.27,0.83,8.85,3.02,-9.57,-0.74,9.27,-2.55,5.74
"Electric transmission, distribution and industrial apparatus",11.55,-0.04,8.09,1.82,-11.06,-2.03,8.4,-3.61,4.82
Light trucks (including utility vehicles),11.31,-0.3,7.85,1.46,-11.45,-2.4,8.12,-3.9,4.53
"Other trucks, buses, and truck trailers",11.32,-0.29,7.85,1.47,-11.43,-2.38,8.13,-3.89,4.54
Autos,11.4,-0.19,7.94,1.6,-11.27,-2.24,8.23,-3.78,4.64
Aircraft,10.99,-0.68,7.5,0.92,-12.12,-2.97,7.73,-4.38,4.12
Ships and boats,11.15,-0.5,7.67,1.17,-11.83,-2.71,7.92,-4.16,4.31
Railroad equipment,10.94,-0.74,7.45,0.83,-12.23,-3.07,7.68,-4.45,4.06
Household furniture,12.63,1.27,9.24,3.62,-8.81,-0.09,9.7,-2.01,6.2
Other furniture and fixtures,11.24,-0.38,7.77,1.34,-11.61,-2.53,8.04,-4.01,4.44
Other agricultural machinery,12.35,0.93,8.94,3.16,-9.39,-0.59,9.37,-2.42,5.85
Farm tractors,12.71,1.37,9.32,3.76,-8.64,0.05,9.8,-1.89,6.31
Other construction machinery,12.87,1.56,9.49,4.02,-8.32,0.33,9.99,-1.66,6.51
Construction tractors,12.93,1.63,9.55,4.12,-8.19,0.44,10.06,-1.57,6.59
Mining and oilfield machinery,12.84,1.52,9.46,3.98,-8.37,0.28,9.96,-1.7,6.47
Service industry machinery,12.77,1.44,9.38,3.85,-8.53,0.15,9.87,-1.81,6.38
Household appliances,13.11,1.85,9.74,4.42,-7.82,0.76,10.28,-1.3,6.82
"Other electrical equipment, n.e.c",13.2,1.96,9.84,4.57,-7.63,0.92,10.39,-1.17,6.93
Other nonresidential equipment,12.77,1.44,9.39,3.86,-8.51,0.16,9.88,-1.8,6.39
Office and medical buildings,28.5,19.2,25.72,26.69,17.62,23.97,27.88,18.66,25.12
Hospitals and special care facilities,27.73,18.22,24.89,25.52,16.14,22.71,26.98,17.51,24.15
Warehouses,28.17,18.77,25.36,26.18,16.96,23.42,27.49,18.15,24.7
Mobile structures,10.91,-0.78,7.42,0.77,-12.31,-3.13,7.63,-4.5,4.01
Other commercial buildings,28.6,19.33,25.83,26.84,17.83,24.14,28.0,18.81,25.25
Manufacturing buildings,29.88,20.87,27.19,28.66,20.04,26.07,29.46,20.59,26.81
Electric power structures,11.25,-0.41,7.77,1.3,-11.72,-2.58,8.03,-4.07,4.42
Wind and solar power structures,-8.73,-24.27,-13.33,-22.31,-40.09,-27.57,-13.08,-29.34,-17.9
Gas power structures,11.31,-0.33,7.84,1.41,-11.58,-2.47,8.11,-3.97,4.5
