"Total EMTRs by Asset Type, Legal Form, and Financing Source, 2023 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
,Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz)
Computers and peripheral equipment,18.01,4.37,14.02,7.4,-2.02,4.54,14.62,2.24,10.95
Communication equipment,16.01,3.21,12.24,5.47,-4.33,2.49,12.63,0.72,9.09
Nonelectronic medical instruments,16.09,3.56,12.39,5.86,-3.86,2.91,12.81,1.11,9.32
Electronic medical instruments,19.0,6.35,15.28,9.78,0.8,7.04,16.02,4.49,12.59
Nonmedical instruments,16.0,3.47,12.3,5.74,-4.0,2.78,12.71,1.0,9.22
Photocopy and related equipment,15.36,2.28,11.51,4.26,-5.74,1.23,11.81,-0.36,8.19
Office and accounting equipment,17.66,4.09,13.7,6.99,-2.5,4.11,14.25,1.9,10.59
Nuclear fuel,19.4,5.48,15.35,9.05,-0.08,6.27,16.09,3.62,12.41
Other fabricated metal products,15.12,2.63,11.43,4.54,-5.44,1.51,11.72,-0.03,8.22
Steam engines,15.68,3.48,12.07,5.62,-4.27,2.62,12.44,0.93,9.01
Internal combustion engines,18.06,5.44,14.35,8.52,-0.69,5.72,14.98,3.4,11.54
Metalworking machinery,15.69,3.14,11.98,5.32,-4.51,2.34,12.36,0.61,8.86
"Special industrial machinery, n.e.c.",15.33,2.8,11.63,4.82,-5.11,1.8,11.95,0.19,8.45
General industrial equipment,15.35,2.83,11.65,4.86,-5.06,1.85,11.98,0.23,8.48
"Electric transmission, distribution and industrial apparatus",15.64,3.45,12.03,5.57,-4.33,2.57,12.4,0.89,8.96
Light trucks (including utility vehicles),15.3,2.23,11.46,4.19,-5.82,1.16,11.75,-0.42,8.13
"Other trucks, buses, and truck trailers",15.33,2.25,11.48,4.23,-5.78,1.19,11.78,-0.39,8.17
Autos,15.64,2.5,11.78,4.6,-5.34,1.58,12.11,-0.09,8.49
Aircraft,13.99,1.21,10.21,2.64,-7.67,-0.49,10.36,-1.7,6.77
Ships and boats,14.55,2.11,10.87,3.78,-6.38,0.7,11.09,-0.68,7.58
Railroad equipment,13.78,1.24,10.07,2.59,-7.76,-0.55,10.2,-1.71,6.65
Household furniture,16.15,3.61,12.45,5.94,-3.76,3.0,12.87,1.18,9.39
Other furniture and fixtures,14.97,2.28,11.22,4.12,-5.93,1.07,11.49,-0.42,7.94
Other agricultural machinery,15.61,3.09,11.91,5.2,-4.65,2.21,12.26,0.54,8.77
Farm tractors,16.32,3.77,12.62,6.17,-3.49,3.23,13.05,1.37,9.57
Other construction machinery,16.63,4.07,12.92,6.59,-2.99,3.67,13.4,1.73,9.92
Construction tractors,16.74,4.18,13.04,6.74,-2.81,3.84,13.53,1.86,10.05
Mining and oilfield machinery,16.57,4.01,12.87,6.51,-3.08,3.6,13.34,1.67,9.86
Service industry machinery,16.44,3.88,12.73,6.32,-3.31,3.4,13.18,1.51,9.71
Household appliances,17.1,4.52,13.39,7.22,-2.24,4.35,13.92,2.28,10.45
"Other electrical equipment, n.e.c",17.28,4.69,13.57,7.46,-1.95,4.6,14.12,2.49,10.65
Other nonresidential equipment,16.44,3.89,12.74,6.33,-3.3,3.4,13.19,1.51,9.71
Office and medical buildings,29.5,19.52,26.54,25.88,18.45,23.62,28.28,19.15,25.55
