"Values by Industry and Asset Aggregate, 2021 (Percent)"
,Nonresidential equipment,Nonresidential structures,Residential property,R&D and own-account software,Other intellectual property products,Inventories,"All equipment, structures, IPP, and inventories",Land,"All equipment, structures, IPP, inventories, and land"
Farms,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
"Forestry, Fishing, and Related Activities",3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Oil and Gas Extraction,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Mining (Except Oil and Gas),3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Support Activities for Mining,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Utilities,25.11,19.62,19.89,-44.35,24.76,26.4,19.22,23.88,19.94
Construction,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
"Food, Beverage, and Tobacco Product Manufacturing",3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Textile and Textile Product Mills,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
"Apparel, Leather, and Allied Products Manufacturing",3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Wood Product Manufacturing,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Paper Manufacturing,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Printing and Related Support Activities,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Petroleum and Coal Products Manufacturing,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Chemical Manufacturing,3.85,17.31,20.77,-24.51,7.49,27.95,13.84,25.05,15.87
Plastics and Rubber Products Manufacturing,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Nonmetallic Mineral Product Manufacturing,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Primary Metal Manufacturing,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Fabricated Metal Product Manufacturing,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Machinery Manufacturing,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Computer and Electronic Product Manufacturing,3.85,17.31,20.77,-78.56,7.49,27.95,12.44,25.05,14.78
"Electrical Equipment, Appliances, and Components Manufacturing",3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Motor Vehicle and Parts Manufacturing,3.85,17.31,20.77,-92.84,7.49,27.95,12.2,25.05,14.59
Other Transportation Equipment Manufacturing,3.85,17.31,20.77,-50.09,7.49,27.95,13.06,25.05,15.26
Furniture and Related Products Manufacturing,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Miscellaneous Manufacturing,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Wholesale Trade,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Retail Trade,3.85,17.06,20.77,-48.68,7.49,27.95,12.97,25.05,15.19
Air Transportation,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Rail Transportation,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Water Transportation,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Truck Transportation,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Transit and Ground Passenger Transportation,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Pipeline Transportation,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Other Transportation and Support Activities,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Warehousing and Storage,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Publishing Industries (Except Internet),3.85,17.31,20.77,-50.84,7.49,27.95,13.04,25.05,15.24
Motion Picture and Sound Recording Industries,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Broadcasting (Except Internet) and Telecommunications,3.85,14.87,20.77,-48.68,7.49,27.95,11.92,25.05,14.37
"Data Processing, Hosting, and Other Information Services",3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Credit Intermediation and Related Activities,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Insurance Carriers and Related Activities,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
"Funds, Trusts, and Other Financial Vehicles",3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Real Estate,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Rental and Leasing (Including Nonfinancial Intangibles),3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
"Professional, Scientific, and Technical Services",3.85,17.31,20.77,-65.2,7.49,27.95,12.71,25.05,14.98
Management of Companies and Enterprises,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Administrative and Support Services,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Waste Management and Remediation Services,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Educational Services,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Ambulatory Health Care Services,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Hospitals,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Nursing and Residential Care Facilities,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Social Assistance,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
"Performing Arts, Spectator Sports, Museums, and Related Activities",3.85,17.31,20.77,-48.68,5.18,27.95,13.02,25.05,15.23
"Amusement, Gambling, and Recreation Services",3.85,17.23,20.77,-48.68,7.49,27.95,13.05,25.05,15.25
Accommodation,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Food Services and Drinking Places,3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Other Services (Except Public Administration),3.85,17.31,20.77,-48.68,7.49,27.95,13.09,25.05,15.28
Owner-occupied Housing,NA,NA,NA,NA,NA,NA,NA,NA,NA
All Industries,6.21,17.45,20.77,-45.28,7.59,27.85,13.53,24.98,15.55
