"Key Model Metrics, by Asset Aggregate, Legal Form, and Financing Source, 2022 - 2032 (returns and EMTRs are in percent; tax wedges are in percentage points; weights are in millions of dollars)"
weighting_method,asset_aggs,legal_forms,financing,year,req_before_tax_returns,req_after_tax_returns_savers,total_tax_wedges,total_EMTRs,req_after_tax_returns_investors,c_corp_tax_wedges,c_corp_EMTRs,weights
uniformity,Nonresidential equipment,c_corp,new_equity,2022,5.27,4.44,0.83,15.79,5.15,0.12,2.31,611115.05
uniformity,Nonresidential equipment,c_corp,new_equity,2023,5.41,4.44,0.97,17.88,5.15,0.27,4.92,611115.05
uniformity,Nonresidential equipment,c_corp,new_equity,2024,5.56,4.44,1.11,20.03,5.15,0.41,7.4,611115.05
uniformity,Nonresidential equipment,c_corp,new_equity,2025,5.7,4.45,1.25,21.98,5.15,0.56,9.74,611115.05
uniformity,Nonresidential equipment,c_corp,new_equity,2026,5.85,4.44,1.4,24.03,5.15,0.7,11.97,611115.05
uniformity,Nonresidential equipment,c_corp,new_equity,2027,5.99,4.44,1.55,25.84,5.15,0.84,14.1,611115.05
uniformity,Nonresidential equipment,c_corp,new_equity,2028,5.99,4.44,1.55,25.9,5.15,0.84,14.1,611115.05
uniformity,Nonresidential equipment,c_corp,new_equity,2029,5.99,4.44,1.55,25.89,5.15,0.84,14.1,611115.05
uniformity,Nonresidential equipment,c_corp,new_equity,2030,5.99,4.43,1.56,25.96,5.15,0.84,14.1,611115.05
uniformity,Nonresidential equipment,c_corp,new_equity,2031,5.99,4.44,1.55,25.9,5.15,0.84,14.1,611115.05
uniformity,Nonresidential equipment,c_corp,new_equity,2032,5.99,4.43,1.56,26.02,5.15,0.84,14.1,611115.05
uniformity,Nonresidential equipment,c_corp,retained_earnings,2022,5.27,4.65,0.61,11.66,5.15,0.12,2.31,2444460.19
uniformity,Nonresidential equipment,c_corp,retained_earnings,2023,5.41,4.66,0.75,13.91,5.15,0.27,4.92,2444460.19
uniformity,Nonresidential equipment,c_corp,retained_earnings,2024,5.56,4.66,0.9,16.15,5.15,0.41,7.4,2444460.19
uniformity,Nonresidential equipment,c_corp,retained_earnings,2025,5.7,4.66,1.04,18.22,5.15,0.56,9.74,2444460.19
uniformity,Nonresidential equipment,c_corp,retained_earnings,2026,5.85,4.66,1.19,20.34,5.15,0.7,11.97,2444460.19
uniformity,Nonresidential equipment,c_corp,retained_earnings,2027,5.99,4.66,1.33,22.24,5.15,0.84,14.1,2444460.19
uniformity,Nonresidential equipment,c_corp,retained_earnings,2028,5.99,4.66,1.33,22.28,5.15,0.84,14.1,2444460.19
uniformity,Nonresidential equipment,c_corp,retained_earnings,2029,5.99,4.66,1.33,22.27,5.15,0.84,14.1,2444460.19
uniformity,Nonresidential equipment,c_corp,retained_earnings,2030,5.99,4.65,1.34,22.32,5.15,0.84,14.1,2444460.19
uniformity,Nonresidential equipment,c_corp,retained_earnings,2031,5.99,4.66,1.33,22.28,5.15,0.84,14.1,2444460.19
uniformity,Nonresidential equipment,c_corp,retained_earnings,2032,5.99,4.65,1.34,22.36,5.15,0.84,14.1,2444460.19
uniformity,Nonresidential equipment,c_corp,typical_equity,2022,5.27,4.61,0.66,12.49,5.15,0.12,2.31,3055575.24
uniformity,Nonresidential equipment,c_corp,typical_equity,2023,5.41,4.62,0.8,14.7,5.15,0.27,4.92,3055575.24
uniformity,Nonresidential equipment,c_corp,typical_equity,2024,5.56,4.62,0.94,16.92,5.15,0.41,7.4,3055575.24
uniformity,Nonresidential equipment,c_corp,typical_equity,2025,5.7,4.62,1.08,18.97,5.15,0.56,9.74,3055575.24
uniformity,Nonresidential equipment,c_corp,typical_equity,2026,5.85,4.61,1.23,21.08,5.15,0.7,11.97,3055575.24
uniformity,Nonresidential equipment,c_corp,typical_equity,2027,5.99,4.61,1.38,22.96,5.15,0.84,14.1,3055575.24
uniformity,Nonresidential equipment,c_corp,typical_equity,2028,5.99,4.61,1.38,23.0,5.15,0.84,14.1,3055575.24
uniformity,Nonresidential equipment,c_corp,typical_equity,2029,5.99,4.61,1.38,23.0,5.15,0.84,14.1,3055575.24
uniformity,Nonresidential equipment,c_corp,typical_equity,2030,5.99,4.61,1.38,23.05,5.15,0.84,14.1,3055575.24
uniformity,Nonresidential equipment,c_corp,typical_equity,2031,5.99,4.61,1.38,23.0,5.15,0.84,14.1,3055575.24
uniformity,Nonresidential equipment,c_corp,typical_equity,2032,5.99,4.61,1.38,23.09,5.15,0.84,14.1,3055575.24
uniformity,Nonresidential equipment,c_corp,debt,2022,4.66,4.61,0.05,1.09,5.15,-0.49,-10.42,1709720.24
uniformity,Nonresidential equipment,c_corp,debt,2023,4.77,4.62,0.16,3.29,5.15,-0.37,-7.8,1709720.24
uniformity,Nonresidential equipment,c_corp,debt,2024,4.89,4.62,0.27,5.6,5.15,-0.26,-5.23,1709720.24
uniformity,Nonresidential equipment,c_corp,debt,2025,5.01,4.62,0.39,7.74,5.15,-0.14,-2.76,1709720.24
uniformity,Nonresidential equipment,c_corp,debt,2026,5.14,4.61,0.53,10.28,5.15,-0.0,-0.06,1709720.24
uniformity,Nonresidential equipment,c_corp,debt,2027,5.27,4.61,0.65,12.41,5.15,0.12,2.33,1709720.24
uniformity,Nonresidential equipment,c_corp,debt,2028,5.28,4.61,0.66,12.57,5.15,0.13,2.46,1709720.24
uniformity,Nonresidential equipment,c_corp,debt,2029,5.28,4.61,0.67,12.62,5.15,0.13,2.52,1709720.24
uniformity,Nonresidential equipment,c_corp,debt,2030,5.28,4.61,0.68,12.77,5.15,0.14,2.63,1709720.24
uniformity,Nonresidential equipment,c_corp,debt,2031,5.29,4.61,0.68,12.82,5.15,0.14,2.73,1709720.24
uniformity,Nonresidential equipment,c_corp,debt,2032,5.3,4.61,0.7,13.13,5.15,0.16,2.97,1709720.24
uniformity,Nonresidential equipment,c_corp,typical (biz),2022,5.06,4.61,0.45,8.93,5.15,-0.08,-1.66,4765295.48
uniformity,Nonresidential equipment,c_corp,typical (biz),2023,5.2,4.62,0.58,11.15,5.15,0.05,0.96,4765295.48
uniformity,Nonresidential equipment,c_corp,typical (biz),2024,5.33,4.62,0.71,13.4,5.15,0.18,3.47,4765295.48
uniformity,Nonresidential equipment,c_corp,typical (biz),2025,5.47,4.62,0.85,15.48,5.15,0.32,5.86,4765295.48
uniformity,Nonresidential equipment,c_corp,typical (biz),2026,5.61,4.61,0.99,17.72,5.15,0.46,8.23,4765295.48
uniformity,Nonresidential equipment,c_corp,typical (biz),2027,5.74,4.61,1.13,19.68,5.15,0.6,10.44,4765295.48
uniformity,Nonresidential equipment,c_corp,typical (biz),2028,5.75,4.61,1.14,19.76,5.15,0.6,10.48,4765295.48
uniformity,Nonresidential equipment,c_corp,typical (biz),2029,5.75,4.61,1.14,19.76,5.15,0.6,10.49,4765295.48
uniformity,Nonresidential equipment,c_corp,typical (biz),2030,5.75,4.61,1.14,19.85,5.15,0.61,10.52,4765295.48
uniformity,Nonresidential equipment,c_corp,typical (biz),2031,5.75,4.61,1.14,19.83,5.15,0.61,10.55,4765295.48
uniformity,Nonresidential equipment,c_corp,typical (biz),2032,5.76,4.61,1.15,19.98,5.15,0.61,10.62,4765295.48
