"Key Model Metrics, by Asset Aggregate, Legal Form, and Financing Source, 2021 - 2031 (returns and EMTRs are in percent; tax wedges are in percentage points; weights are in millions of dollars)"
weighting_method,asset_aggs,legal_forms,financing,year,req_before_tax_returns,req_after_tax_returns_savers,total_tax_wedges,total_EMTRs,req_after_tax_returns_investors,c_corp_tax_wedges,c_corp_EMTRs,weights
comprehensive,Nonresidential equipment,c_corp,new_equity,2021,5.48,4.73,0.75,13.75,5.35,0.13,2.4,611115.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2022,5.5,4.71,0.79,14.31,5.35,0.15,2.73,611115.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2023,5.65,4.72,0.93,16.48,5.35,0.3,5.29,611115.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2024,5.8,4.71,1.09,18.78,5.35,0.45,7.71,611115.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2025,5.95,4.71,1.24,20.8,5.35,0.6,10.01,611115.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2026,6.09,4.69,1.4,22.98,5.35,0.74,12.2,611115.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2027,6.24,4.7,1.54,24.75,5.35,0.89,14.29,611115.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2028,6.24,4.69,1.56,24.92,5.35,0.89,14.29,611115.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2029,6.24,4.69,1.55,24.88,5.35,0.89,14.29,611115.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2030,6.24,4.68,1.56,24.95,5.35,0.89,14.29,611115.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2031,6.24,4.68,1.56,25.03,5.35,0.89,14.29,611115.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2021,5.48,4.9,0.58,10.54,5.35,0.13,2.4,2444460.19
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2022,5.5,4.9,0.6,10.92,5.35,0.15,2.73,2444460.19
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2023,5.65,4.91,0.74,13.14,5.35,0.3,5.29,2444460.19
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2024,5.8,4.91,0.89,15.35,5.35,0.45,7.71,2444460.19
