"Values by Industry and Asset Aggregate, 2022 (Percent)"
,Nonresidential equipment,Nonresidential structures,Residential property,R&D and own-account software,Other intellectual property products,Inventories,"All equipment, structures, IPP, and inventories",Land,"All equipment, structures, IPP, inventories, and land"
Farms,-0.59,-1.72,NA,NA,-2.35,29.49,9.15,28.36,22.68
"Forestry, Fishing, and Related Activities",1.47,20.7,NA,NA,3.15,30.17,10.01,29.2,13.76
Oil and Gas Extraction,6.9,9.37,NA,-9.48,6.97,30.16,9.22,27.49,9.42
Mining (Except Oil and Gas),6.4,15.58,NA,-10.39,6.62,30.04,15.1,27.38,19.41
Support Activities for Mining,5.45,15.53,NA,-15.56,5.89,29.66,10.94,26.92,11.87
Utilities,24.9,18.35,NA,-19.9,31.47,29.67,20.24,26.07,20.37
Construction,1.68,20.72,NA,-11.26,5.02,29.86,12.5,28.65,19.94
"Food, Beverage, and Tobacco Product Manufacturing",5.4,27.58,NA,-4.6,6.63,29.79,18.97,26.78,19.28
Textile and Textile Product Mills,5.64,27.98,NA,-2.63,6.79,30.03,21.96,27.49,22.08
"Apparel, Leather, and Allied Products Manufacturing",2.25,28.38,NA,-4.47,5.71,29.71,23.61,28.06,23.81
Wood Product Manufacturing,3.69,27.93,NA,-5.71,5.24,29.66,20.69,27.62,21.72
Paper Manufacturing,6.34,27.2,NA,-4.04,6.65,29.87,16.9,26.74,17.49
Printing and Related Support Activities,0.55,26.97,NA,-16.5,1.85,28.68,14.84,24.05,14.94
Petroleum and Coal Products Manufacturing,7.43,26.04,NA,-2.3,7.56,30.18,17.96,27.04,19.55
Chemical Manufacturing,6.91,27.26,NA,-0.67,7.1,29.99,9.65,26.83,10.57
Plastics and Rubber Products Manufacturing,4.6,27.49,NA,-6.22,5.79,29.59,16.99,26.62,17.4
Nonmetallic Mineral Product Manufacturing,6.45,27.83,NA,-2.63,7.27,30.06,16.68,27.16,19.58
Primary Metal Manufacturing,5.88,27.34,NA,-4.82,6.53,29.79,17.97,26.62,18.49
Fabricated Metal Product Manufacturing,3.94,28.53,NA,-3.32,6.65,29.9,17.79,27.79,18.28
Machinery Manufacturing,6.4,27.53,NA,-3.39,7.08,30.01,16.47,27.07,16.99
Computer and Electronic Product Manufacturing,6.46,26.92,NA,-9.54,6.63,29.8,10.26,26.46,11.16
"Electrical Equipment, Appliances, and Components Manufacturing",6.63,27.29,NA,-3.53,7.07,30.0,17.54,27.16,18.69
Motor Vehicle and Parts Manufacturing,6.44,27.02,NA,-11.78,6.52,29.71,13.38,26.28,13.76
Other Transportation Equipment Manufacturing,6.58,26.98,NA,-5.16,6.76,29.82,17.29,26.47,17.54
Furniture and Related Products Manufacturing,3.47,28.01,NA,-5.27,6.04,29.67,20.78,27.45,21.31
Miscellaneous Manufacturing,5.62,27.61,NA,-4.31,6.61,29.86,16.53,27.14,17.35
Wholesale Trade,6.27,26.84,NA,-13.73,7.0,30.06,24.84,27.71,25.29
Retail Trade,4.74,25.18,NA,-16.17,5.72,29.69,23.56,26.76,24.53
Air Transportation,5.61,23.78,NA,-28.99,6.14,29.41,11.07,26.04,11.33
Rail Transportation,6.83,6.9,NA,-18.15,7.12,29.96,7.01,26.84,8.57
Water Transportation,5.2,21.94,NA,-17.03,5.55,29.72,8.26,26.72,8.98
Truck Transportation,1.95,26.67,NA,-20.9,4.76,29.45,7.89,27.01,11.77
Transit and Ground Passenger Transportation,1.65,21.42,NA,-17.16,4.22,29.25,14.1,26.03,14.87
Pipeline Transportation,5.49,4.2,NA,-20.66,6.12,29.79,4.44,26.77,4.7
Other Transportation and Support Activities,4.73,12.82,NA,-34.18,5.52,29.33,9.61,25.98,12.0
Warehousing and Storage,5.36,24.6,NA,-25.65,6.49,29.79,21.44,27.23,24.07
Publishing Industries (Except Internet),5.29,26.02,NA,-18.1,19.44,29.39,4.48,26.13,5.47
Motion Picture and Sound Recording Industries,2.84,25.38,NA,-38.0,6.03,28.95,10.91,25.01,11.84
Broadcasting (Except Internet) and Telecommunications,6.71,10.08,NA,-13.79,6.74,29.78,8.31,26.45,8.91
"Data Processing, Hosting, and Other Information Services",7.55,22.26,NA,-15.5,7.63,30.22,7.32,27.11,11.18
Credit Intermediation and Related Activities,1.73,22.87,NA,-0.51,1.6,27.79,11.71,23.07,12.36
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",1.49,24.81,NA,3.81,2.88,28.67,18.07,25.36,18.59
Insurance Carriers and Related Activities,6.0,26.12,NA,8.54,6.13,29.68,19.61,26.39,19.89
"Funds, Trusts, and Other Financial Vehicles",1.57,25.91,NA,7.99,2.45,28.93,24.99,25.97,25.44
Real Estate,-0.56,26.43,25.02,-17.73,2.13,29.44,25.01,27.89,25.68
Rental and Leasing (Including Nonfinancial Intangibles),3.79,25.34,NA,-27.98,4.48,29.4,6.12,26.31,7.51
"Professional, Scientific, and Technical Services",3.54,27.19,NA,-14.56,9.61,29.93,11.04,28.44,12.61
Management of Companies and Enterprises,2.34,23.33,NA,0.9,2.9,28.07,18.59,23.39,20.38
Administrative and Support Services,2.12,24.52,NA,12.83,5.62,29.64,13.0,27.62,14.78
Waste Management and Remediation Services,3.86,9.89,NA,7.27,5.23,29.29,8.83,26.33,13.7
Educational Services,2.97,26.16,NA,-28.01,5.9,29.84,23.83,27.42,23.89
Ambulatory Health Care Services,1.95,26.63,NA,-15.62,4.89,29.5,16.87,27.66,17.04
Hospitals,3.72,24.02,NA,-52.58,4.14,29.16,19.58,25.53,19.8
Nursing and Residential Care Facilities,-5.94,20.21,NA,-57.36,-4.4,26.63,14.58,20.67,15.26
Social Assistance,-1.01,25.55,NA,-26.86,2.62,NA,21.82,26.95,22.26
"Performing Arts, Spectator Sports, Museums, and Related Activities",3.13,25.62,NA,-19.87,2.9,29.21,17.94,26.57,18.86
