"Total EMTRs by Industry, Legal Form, and Financing Source, 2025 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
,Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz)
Farms,17.53,-3.57,15.17,11.31,-3.64,9.17,12.51,-3.63,10.29
"Forestry, Fishing, and Related Activities",19.92,0.49,17.25,15.59,3.66,13.98,16.67,2.85,14.8
Oil and Gas Extraction,15.63,-5.83,12.99,11.09,-3.11,10.38,15.37,-5.77,12.85
Mining (Except Oil and Gas),19.18,-1.97,17.24,14.01,-0.33,13.3,18.5,-1.85,16.74
Support Activities for Mining,21.21,2.06,19.76,16.85,5.21,16.11,20.47,2.51,19.15
Electric Power,18.67,-5.75,13.53,15.44,-1.11,14.77,18.66,-5.75,13.53
Natural Gas Distribution,23.41,3.0,21.0,20.63,8.11,19.92,23.35,3.05,20.98
"Water, Sewage and Other Systems",25.64,6.51,22.16,24.36,13.79,23.23,25.61,6.6,22.19
Construction,22.47,3.89,20.03,15.38,3.23,14.16,18.48,3.57,16.77
Food Manufacturing,24.71,6.56,22.15,22.88,13.19,22.14,24.37,7.25,22.14
Beverage and Tobacco Products Manufacturing,25.01,7.07,19.11,23.22,13.75,22.49,24.54,7.45,19.8
Textile and Textile Product Mills,26.33,8.79,24.64,25.53,16.46,25.03,26.17,9.75,24.72
"Apparel, Leather, and Allied Products Manufacturing",26.11,7.46,22.66,26.68,17.71,25.89,26.35,9.84,23.91
Wood Product Manufacturing,26.8,10.35,24.72,24.94,16.41,24.38,26.19,11.51,24.62
Paper Manufacturing,23.88,5.26,20.95,21.67,11.41,20.84,23.59,5.66,20.93
Printing and Related Support Activities,24.76,6.01,19.45,23.17,13.36,22.31,24.01,7.32,20.63
Petroleum and Coal Products Manufacturing,24.11,4.83,21.88,22.19,10.18,21.33,24.07,4.91,21.87
Chemical Manufacturing,14.47,-15.51,11.24,15.25,-2.42,14.2,14.49,-15.31,11.32
Plastics and Rubber Products Manufacturing,23.54,4.39,20.22,21.67,11.31,21.1,23.12,4.91,20.4
Nonmetallic Mineral Product Manufacturing,22.44,1.23,19.68,21.27,9.74,20.14,22.28,2.1,19.74
