"Values by Industry and Asset Aggregate, 2025 (Percent)"
,Nonresidential equipment,Nonresidential structures,Residential property,R&D and own-account software,Other intellectual property products,Inventories,"All equipment, structures, IPP, and inventories",Land,"All equipment, structures, IPP, inventories, and land"
Farms,5.93,4.11,NA,NA,16.64,28.98,10.29,27.48,23.56
"Forestry, Fishing, and Related Activities",7.74,22.23,NA,NA,17.45,29.03,14.8,27.46,17.35
Oil and Gas Extraction,16.83,12.84,NA,1.87,22.58,29.89,12.85,27.62,15.9
Mining (Except Oil and Gas),13.45,16.9,NA,-3.47,12.78,30.3,16.74,27.87,19.81
Support Activities for Mining,15.05,22.35,NA,3.08,22.66,30.44,19.15,28.14,19.82
Electric Power,22.23,9.11,NA,-2.94,21.33,28.74,13.53,25.58,13.95
Natural Gas Distribution,23.13,20.44,NA,0.39,23.15,30.03,20.98,27.23,21.07
"Water, Sewage and Other Systems",27.59,21.02,NA,-1.07,21.97,29.16,22.19,26.1,22.58
Construction,8.51,21.86,NA,-2.02,19.91,29.5,16.77,27.68,21.41
Food Manufacturing,13.13,28.08,NA,-6.4,22.36,29.65,22.14,27.07,22.29
Beverage and Tobacco Products Manufacturing,10.46,25.61,NA,-15.91,19.17,27.7,19.8,24.58,20.08
Textile and Textile Product Mills,14.76,28.63,NA,-4.44,22.84,30.07,24.72,27.82,24.79
"Apparel, Leather, and Allied Products Manufacturing",12.23,27.54,NA,-9.0,21.41,29.13,23.91,26.92,24.03
Wood Product Manufacturing,15.42,28.43,NA,-7.07,22.17,29.7,24.62,27.88,25.06
Paper Manufacturing,14.63,27.57,NA,-7.37,21.94,29.48,20.93,26.76,21.19
Printing and Related Support Activities,11.94,27.3,NA,-14.36,19.81,28.34,20.63,25.62,20.69
Petroleum and Coal Products Manufacturing,16.92,27.16,NA,-4.95,22.45,30.07,21.87,27.26,23.61
Chemical Manufacturing,14.36,28.09,NA,-2.77,22.84,30.08,11.32,27.31,12.11
Plastics and Rubber Products Manufacturing,12.07,27.79,NA,-8.11,21.74,29.32,20.4,26.6,20.69
Nonmetallic Mineral Product Manufacturing,15.53,27.99,NA,-6.05,22.46,29.73,19.74,27.1,21.49
Primary Metal Manufacturing,13.03,27.78,NA,-6.99,21.99,29.55,21.14,26.79,21.46
Fabricated Metal Product Manufacturing,11.79,28.25,NA,-7.73,21.93,29.39,20.66,27.2,20.96
Machinery Manufacturing,-4.63,21.47,NA,-61.85,-95.03,29.72,7.72,27.16,8.56
Computer and Electronic Product Manufacturing,-59.18,9.77,NA,-19.53,21.54,29.37,-5.24,26.4,-3.4
"Electrical Equipment, Appliances, and Components Manufacturing",1579.14,-24.29,NA,242.35,137.31,30.01,-159.01,27.61,-133.86
Motor Vehicle and Parts Manufacturing,5.77,24.14,NA,-85.22,-7.56,28.94,7.4,25.87,8.47
Other Transportation Equipment Manufacturing,13.5,26.65,NA,-15.17,20.89,28.84,19.46,25.73,19.84
Furniture and Related Products Manufacturing,14.21,27.71,NA,-8.94,21.65,29.22,23.49,26.77,23.74
Medical Equipment and Supplies,15.3,28.39,NA,-4.45,23.04,30.13,19.98,27.75,20.6
Other Manufacturing,11.89,26.87,NA,-13.22,19.85,28.35,16.39,25.92,16.84
Wholesale Durable Goods,14.43,27.1,NA,-12.41,22.18,29.67,25.73,27.49,25.89
Wholesale Nondurable Goods,16.07,27.59,NA,-7.87,23.34,30.34,27.13,28.14,27.27
Motor Vehicle and Parts Dealers,11.74,27.07,NA,-13.64,20.18,29.01,26.85,26.69,26.82
Food and Beverage Stores,12.59,26.5,NA,-12.78,20.91,29.09,24.28,26.33,24.93
General Merchandise Stores,15.19,26.42,NA,-11.0,25.31,29.44,25.03,26.41,25.63
Other Retail,13.01,23.17,NA,-20.8,21.3,28.44,22.08,25.78,23.04
Air Transportation,9.63,22.75,NA,-8.82,19.01,27.54,14.73,24.52,14.84
Rail Transportation,12.65,12.22,NA,-0.86,21.7,29.4,12.44,26.43,13.42
Water Transportation,12.73,23.93,NA,-0.36,21.61,29.46,15.69,27.24,16.16
Truck Transportation,12.97,26.82,NA,-2.35,21.32,29.12,16.79,26.94,18.98
Transit and Ground Passenger Transportation,12.23,23.81,NA,-1.04,21.03,29.2,18.19,26.9,18.54
Pipeline Transportation,22.92,11.32,NA,0.24,21.82,29.47,12.72,27.02,12.76
Other Transportation and Support Activities,12.47,19.5,NA,-5.99,21.18,28.91,17.23,26.01,18.71
Warehousing and Storage,11.76,25.66,NA,-4.75,21.12,29.1,23.42,27.04,24.64
Publishing Industries (Except Internet),18.05,26.98,NA,-30.85,24.3,29.65,4.58,26.82,5.58
Motion Picture and Sound Recording Industries,15.3,27.81,NA,-35.77,24.79,29.77,24.85,27.55,24.98
Broadcasting (Except Internet) and Telecommunications,15.66,15.0,NA,-21.43,26.99,29.69,15.96,26.82,16.28
"Data Processing, Hosting, and Other Information Services",19.33,23.91,NA,-25.81,22.89,30.45,14.83,27.81,18.19
Depository Credit Intermediation,6.8,18.95,NA,-68.64,15.67,25.42,15.16,18.64,15.43
Other Intermediation,17.93,26.77,NA,-15.46,23.06,29.33,21.46,26.95,21.73
Nondepository Credit Intermediation,10.95,22.57,NA,-26.96,18.34,27.2,12.77,24.78,13.13
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",13.66,24.1,NA,-29.54,19.04,27.92,19.15,24.86,19.42
Insurance Carriers,17.13,27.33,NA,-9.61,23.13,29.93,22.36,27.41,22.48
Insurance Agencies and Brokers and Related Services,14.32,26.32,NA,-35.13,22.38,27.87,21.04,25.66,21.32
"Funds, Trusts, and Other Financial Vehicles",10.12,21.9,NA,-69.95,16.97,26.04,19.61,22.41,20.4
Real Estate,11.94,26.33,23.47,-8.94,23.12,28.63,23.97,26.75,24.78
Rental and Leasing (Including Nonfinancial Intangibles),11.17,24.54,NA,-9.24,20.21,28.29,13.04,26.18,14.18
Legal Services,9.98,28.01,NA,-39.52,18.08,29.32,23.32,28.41,23.49
Computer Systems Design and Related Services,17.34,27.32,NA,-14.84,22.49,29.95,15.03,27.67,15.58
"Other Professional, Scientific, and Technical Services",11.71,26.9,NA,-17.05,20.69,29.45,12.57,27.82,13.58
Management of Companies and Enterprises,10.4,21.4,NA,-66.14,17.12,26.13,17.93,21.71,19.4
Administrative and Support Services,9.73,24.89,NA,-39.66,19.65,28.66,16.36,26.45,17.43
Waste Management and Remediation Services,10.47,16.55,NA,-20.58,19.27,28.16,14.97,25.27,17.74
Educational Services,9.31,25.61,NA,-31.73,20.99,29.18,24.39,27.27,24.41
Ambulatory Health Care Services,9.38,25.28,NA,-18.23,19.73,28.25,18.85,26.13,18.98
Hospitals,4.17,16.59,NA,-128.67,12.78,24.85,14.03,17.8,14.12
Nursing and Residential Care Facilities,8.45,24.38,NA,-20.89,17.68,28.01,20.83,25.48,21.16
Social Assistance,8.56,25.73,NA,-22.45,19.38,28.39,23.38,26.69,23.55
"Performing Arts, Spectator Sports, Museums, and Related Activities",9.84,26.1,NA,-21.21,8.08,28.44,20.17,25.95,20.68
"Amusement, Gambling, and Recreation Services",10.8,24.33,NA,-20.52,18.86,27.61,22.26,24.52,22.78
Accommodation,8.21,24.94,NA,-25.51,18.14,26.83,23.57,23.38,23.5
Food Services and Drinking Places,7.51,24.4,NA,-28.88,17.19,26.66,20.29,23.57,21.09
Other Services (Except Public Administration),8.94,25.52,NA,-18.13,19.6,28.66,23.16,26.42,23.53
Owner-occupied Housing,NA,NA,NA,NA,NA,NA,NA,NA,NA
All Industries,12.12,20.79,23.47,-16.89,22.46,29.44,18.5,26.73,20.38
