"Key Model Metrics, by Asset Aggregate, Legal Form, and Financing Source, 2023 - 2033 (returns and EMTRs are in percent; tax wedges are in percentage points; weights are in millions of dollars)"
weighting_method,asset_aggs,legal_forms,financing,year,req_before_tax_returns,req_after_tax_returns_savers,total_tax_wedges,total_EMTRs,req_after_tax_returns_investors,c_corp_tax_wedges,c_corp_EMTRs,weights
comprehensive,Nonresidential equipment,c_corp,new_equity,2023,5.88,4.96,0.93,15.79,5.65,0.24,3.99,1527787.62
comprehensive,Nonresidential equipment,c_corp,new_equity,2024,6.04,4.97,1.07,17.67,5.65,0.39,6.42,1527787.62
comprehensive,Nonresidential equipment,c_corp,new_equity,2025,6.18,4.97,1.22,19.66,5.65,0.54,8.65,1527787.62
comprehensive,Nonresidential equipment,c_corp,new_equity,2026,6.34,4.96,1.38,21.78,5.65,0.69,10.85,1527787.62
comprehensive,Nonresidential equipment,c_corp,new_equity,2027,6.56,4.95,1.61,24.52,5.65,0.91,13.88,1527787.62
comprehensive,Nonresidential equipment,c_corp,new_equity,2028,6.56,4.94,1.62,24.63,5.65,0.91,13.88,1527787.62
comprehensive,Nonresidential equipment,c_corp,new_equity,2029,6.56,4.95,1.61,24.55,5.65,0.91,13.88,1527787.62
comprehensive,Nonresidential equipment,c_corp,new_equity,2030,6.56,4.95,1.61,24.55,5.65,0.91,13.89,1527787.62
comprehensive,Nonresidential equipment,c_corp,new_equity,2031,6.56,4.95,1.61,24.59,5.65,0.91,13.89,1527787.62
comprehensive,Nonresidential equipment,c_corp,new_equity,2032,6.56,4.95,1.62,24.62,5.65,0.91,13.9,1527787.62
comprehensive,Nonresidential equipment,c_corp,new_equity,2033,6.56,4.94,1.62,24.75,5.65,0.91,13.91,1527787.62
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2023,6.0,5.15,0.85,14.2,5.65,0.35,5.86,1527787.62
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2024,6.16,5.16,0.99,16.14,5.65,0.51,8.21,1527787.62
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2025,6.3,5.16,1.14,18.13,5.65,0.65,10.37,1527787.62
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2026,6.46,5.15,1.3,20.19,5.65,0.81,12.5,1527787.62
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2027,6.68,5.15,1.53,22.9,5.65,1.03,15.44,1527787.62
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2028,6.68,5.15,1.53,22.96,5.65,1.03,15.44,1527787.62
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2029,6.68,5.15,1.53,22.86,5.65,1.03,15.44,1527787.62
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2030,6.68,5.16,1.53,22.84,5.65,1.03,15.44,1527787.62
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2031,6.68,5.16,1.53,22.83,5.65,1.03,15.45,1527787.62
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2032,6.68,5.15,1.53,22.92,5.65,1.03,15.46,1527787.62
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2033,6.68,5.15,1.54,22.97,5.65,1.03,15.46,1527787.62
comprehensive,Nonresidential equipment,c_corp,typical_equity,2023,5.94,5.05,0.89,14.99,5.65,0.29,4.94,3055575.24
comprehensive,Nonresidential equipment,c_corp,typical_equity,2024,6.1,5.07,1.03,16.9,5.65,0.45,7.33,3055575.24
comprehensive,Nonresidential equipment,c_corp,typical_equity,2025,6.24,5.06,1.18,18.89,5.65,0.59,9.52,3055575.24
comprehensive,Nonresidential equipment,c_corp,typical_equity,2026,6.4,5.06,1.34,20.98,5.65,0.75,11.68,3055575.24
comprehensive,Nonresidential equipment,c_corp,typical_equity,2027,6.62,5.05,1.57,23.7,5.65,0.97,14.67,3055575.24
comprehensive,Nonresidential equipment,c_corp,typical_equity,2028,6.62,5.05,1.58,23.79,5.65,0.97,14.67,3055575.24
comprehensive,Nonresidential equipment,c_corp,typical_equity,2029,6.62,5.05,1.57,23.7,5.65,0.97,14.67,3055575.24
