"Total EMTRs by Asset Type, Legal Form, and Financing Source, 2023 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
,Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz)
Computers and peripheral equipment,16.1,1.01,13.11,5.61,-3.34,4.45,14.0,0.44,11.49
Communication equipment,14.37,0.03,11.68,4.09,-6.34,2.35,13.48,-0.46,10.89
Nonelectronic medical instruments,12.04,-2.49,8.27,2.08,-10.83,0.45,8.09,-4.27,5.47
Electronic medical instruments,14.19,-0.7,10.85,3.49,-8.31,2.2,9.99,-2.34,7.74
Nonmedical instruments,9.99,-9.36,6.78,2.4,-9.66,0.91,7.2,-9.45,4.69
Photocopy and related equipment,13.11,-2.35,10.15,3.14,-8.24,1.62,11.05,-3.2,8.48
Office and accounting equipment,17.04,3.25,13.32,6.79,-2.49,5.38,14.61,2.5,11.65
Nuclear fuel,35.34,29.4,34.09,17.41,34.76,26.59,35.31,29.44,34.06
Other fabricated metal products,13.7,-0.2,11.24,2.4,-10.31,1.04,11.52,-1.39,9.4
Steam engines,24.45,13.84,22.23,5.87,4.05,5.41,24.24,13.7,22.04
Internal combustion engines,37.23,35.46,36.86,4.44,2.06,4.12,34.42,33.67,34.27
Metalworking machinery,13.16,-1.18,10.71,2.35,-10.29,1.45,11.24,-1.86,9.21
"Special industrial machinery, n.e.c.",8.22,-11.56,4.83,1.11,-11.48,-0.24,7.16,-11.56,4.12
General industrial equipment,12.6,-2.62,10.16,2.38,-10.08,1.0,11.04,-3.4,8.83
"Electric transmission, distribution and industrial apparatus",23.63,13.52,21.61,3.69,-1.54,2.9,23.0,13.17,21.05
Light trucks (including utility vehicles),14.54,0.62,9.84,3.41,-8.13,1.86,10.99,-0.47,7.73
"Other trucks, buses, and truck trailers",14.45,0.51,11.25,3.88,-7.89,1.98,10.36,-1.93,7.84
Autos,14.86,0.99,9.45,4.16,-6.9,2.44,12.3,0.33,8.15
Aircraft,12.84,-1.33,9.12,2.42,-10.54,0.17,11.42,-2.12,8.02
Ships and boats,13.69,-0.1,11.01,3.25,-9.42,1.4,11.83,-1.34,9.38
Railroad equipment,12.82,-1.27,8.3,2.91,-10.34,0.32,11.76,-1.8,7.57
Household furniture,13.75,-0.32,9.45,3.53,-8.81,-0.19,9.44,-3.86,5.4
Other furniture and fixtures,13.76,-0.18,10.33,3.63,-8.27,1.77,10.47,-1.92,7.76
Other agricultural machinery,12.88,-1.38,10.58,2.97,-9.89,1.27,5.12,-7.69,3.34
Farm tractors,13.62,-0.45,11.06,3.31,-9.08,1.5,6.66,-5.74,4.7
Other construction machinery,14.57,0.84,11.92,2.34,-10.02,1.17,9.2,-1.93,7.5
Construction tractors,14.43,0.55,11.4,2.51,-9.67,1.32,9.52,-1.64,7.59
Mining and oilfield machinery,18.07,7.82,16.48,5.36,-3.67,3.92,16.76,6.6,15.17
Service industry machinery,16.11,2.73,13.06,3.37,-8.68,1.28,12.18,-0.02,9.6
Household appliances,14.51,0.56,11.19,4.32,-7.28,2.35,10.03,-2.1,7.49
"Other electrical equipment, n.e.c",19.14,5.49,15.57,3.75,-6.36,2.23,17.1,4.65,14.01
Other nonresidential equipment,14.09,-0.05,10.48,3.29,-8.6,1.41,11.18,-1.49,8.25
Office and medical buildings,28.36,18.13,25.36,29.48,22.66,28.32,28.75,19.08,26.3
Hospitals and special care facilities,28.11,16.77,24.04,28.02,19.67,26.45,28.07,17.56,25.04
Warehouses,28.32,17.3,26.35,28.65,21.01,27.54,28.43,18.31,26.73
Mobile structures,12.58,-1.57,9.89,2.11,-11.04,0.31,7.77,-5.01,5.64
Other commercial buildings,28.39,18.0,25.97,29.15,22.88,28.17,28.67,19.28,26.73
Manufacturing buildings,28.91,18.68,27.17,30.93,25.85,30.27,29.31,19.77,27.76
Electric power structures,22.63,10.49,20.18,3.52,2.57,3.31,22.47,10.41,20.03
Wind and solar power structures,-2.27,-25.93,-6.47,-18.81,-50.21,-23.47,-4.64,-28.82,-8.84
Gas power structures,20.87,9.78,18.85,4.95,-5.96,2.46,20.35,9.1,18.28
Petroleum pipelines,14.62,1.8,12.73,3.57,-9.59,0.49,13.54,-0.04,11.41
Communication structures,12.9,-1.25,10.58,3.26,-10.27,-0.54,12.75,-1.53,10.38
Depreciable petroleum and natural gas structures,13.07,-1.01,11.59,3.18,-9.81,1.58,12.24,-1.88,10.73
Depreciable mining structures,12.49,-1.66,10.87,2.41,-11.17,0.16,11.49,-3.04,9.75
Religious buildings,27.69,15.98,25.38,27.36,18.29,25.73,27.47,17.45,25.61
Educational and vocational buildings,28.05,16.67,25.93,27.93,19.49,26.93,27.99,17.7,26.41
Lodging buildings,29.04,18.5,24.79,29.45,22.6,27.37,29.29,20.58,26.28
Amusement and recreation buildings,28.73,17.89,25.89,29.55,22.32,27.72,29.05,19.59,26.61
Track replacement,12.05,-2.22,9.99,1.83,-12.17,0.17,11.69,-2.51,9.66
Other railroad structures,13.61,-0.43,11.38,4.41,-9.07,2.1,13.17,-0.89,10.92
Other transportation structures,27.73,16.57,25.29,25.43,17.51,23.54,27.31,16.76,24.96
Farm buildings,13.78,-0.24,11.34,5.03,-8.32,3.01,6.81,-6.44,4.75
Water supply and sewer and waste disposal facilities,19.7,6.21,16.65,4.24,-8.47,2.15,16.57,4.06,13.89
"Public safety, highways, conservation, and development",14.05,0.08,11.34,4.11,-9.47,2.28,10.44,-2.5,8.2
Oil and gas exploration (geological and geophysical)--integrated,21.72,9.6,20.54,NA,NA,NA,21.72,9.6,20.54
Oil and gas exploration (geological and geophysical)--independent,14.88,1.06,13.54,6.6,-5.52,5.18,13.84,0.07,12.47
Oil and gas development (intangible drilling costs)--integrated,13.78,-0.16,12.43,NA,NA,NA,13.78,-0.16,12.43
Oil and gas development (intangible drilling costs)--independent,11.16,-3.33,9.76,0.0,-14.06,-1.63,9.8,-4.89,8.34
Other mineral exploration--C corps,21.54,8.62,20.12,NA,NA,NA,21.54,8.62,20.12
Other mineral exploration--pass-throughs,NA,NA,NA,17.77,7.43,16.15,17.77,7.43,16.15
Other mineral development--C corps,12.99,-1.18,11.43,NA,NA,NA,12.99,-1.18,11.43
Other mineral development--pass-throughs,NA,NA,NA,0.0,-14.06,-2.18,0.0,-14.06,-2.18
Prepackaged software,22.37,8.62,19.22,9.84,3.89,8.89,21.48,8.4,18.54
Custom software,16.53,2.5,13.54,7.06,-2.73,5.71,16.0,2.33,13.14
Credit-eligible own account software,-30.6,-543.19,-55.66,-22.28,-555.75,-36.77,-29.32,-544.32,-52.81
Other own-account software,35.36,28.92,33.47,37.66,39.37,37.97,35.8,30.05,34.22
Credit-eligible research and development,-8.21,-83.41,-17.26,-12.44,-109.2,-17.81,-8.53,-84.29,-17.3
Other research and development,25.02,15.69,23.42,25.23,21.9,24.91,25.03,15.89,23.5
Theatrical movies,15.07,1.84,10.72,6.92,-3.72,2.8,15.03,1.8,10.67
Long-lived television programs,15.79,1.81,12.86,5.03,-6.79,1.45,15.62,1.6,12.66
Books,28.07,18.06,25.43,7.85,-3.82,4.83,24.62,14.39,21.93
Music,30.07,18.22,26.2,7.36,-4.62,4.19,19.77,9.52,16.7
Other entertainment originals,27.86,18.02,26.04,10.68,-3.32,7.42,21.79,8.98,19.2
Reserved for non-BEA intangibles,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reserved for non-BEA intangibles,NA,NA,NA,NA,NA,NA,NA,NA,NA
Residential equipment,14.2,0.2,11.61,4.55,-7.16,2.4,6.93,-5.33,4.68
Residential buildings,27.44,16.11,25.34,26.99,19.07,25.52,27.09,18.39,25.48
Inventories,32.08,24.71,30.86,30.55,26.56,30.13,31.51,25.2,30.6
Land,29.54,18.37,27.09,30.27,20.46,28.69,29.95,19.36,27.97
Reserved for non-BEA natural resources,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reserved for non-BEA natural resources,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reserved for non-BEA natural resources,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonresidential equipment,14.99,1.05,11.97,3.09,-8.62,1.5,12.37,-0.3,9.84
Nonresidential structures,22.15,12.73,20.28,24.63,17.58,23.39,22.75,13.78,21.02
Residential property,27.3,15.95,25.2,26.79,18.84,25.31,26.9,18.17,25.29
R&D and own-account software,1.58,-45.02,-4.86,-2.03,-55.9,-5.85,1.3,-45.43,-4.93
Other intellectual property products,18.32,4.92,15.11,8.22,-2.9,5.87,17.65,4.47,14.52
"All equipment, structures, IPP, and inventories",20.05,7.4,17.58,22.87,15.46,21.66,20.94,9.59,18.84
"All equipment, structures, IPP, inventories, and land",21.33,9.08,18.9,25.14,16.97,23.81,22.72,11.54,20.65
"All equipment, structures, and inventories",21.93,10.86,19.74,23.35,16.05,22.15,22.41,12.37,20.54
"All equipment, structures, inventories, and land",23.08,12.13,20.87,25.5,17.4,24.18,24.02,13.87,22.12
