"Key Model Metrics, by Asset Aggregate, Legal Form, and Financing Source, 2022 - 2032 (returns and EMTRs are in percent; tax wedges are in percentage points; weights are in millions of dollars)"
weighting_method,asset_aggs,legal_forms,financing,year,req_before_tax_returns,req_after_tax_returns_savers,total_tax_wedges,total_EMTRs,req_after_tax_returns_investors,c_corp_tax_wedges,c_corp_EMTRs,weights
comprehensive,Nonresidential equipment,c_corp,new_equity,2022,6.06,5.2,0.86,14.16,5.9,0.16,2.7,611115.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2023,6.22,5.21,1.01,16.26,5.9,0.32,5.22,611115.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2024,6.39,5.2,1.18,18.54,5.9,0.49,7.61,611115.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2025,6.55,5.21,1.34,20.49,5.9,0.65,9.88,611115.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2026,6.71,5.18,1.53,22.77,5.9,0.81,12.05,611115.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2027,6.87,5.18,1.69,24.56,5.9,0.97,14.11,611115.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2028,6.87,5.17,1.7,24.75,5.9,0.97,14.11,611115.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2029,6.87,5.17,1.69,24.67,5.9,0.97,14.11,611115.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2030,6.87,5.17,1.7,24.77,5.9,0.97,14.11,611115.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2031,6.87,5.18,1.69,24.66,5.9,0.97,14.11,611115.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2032,6.87,5.17,1.7,24.79,5.9,0.97,14.11,611115.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2022,6.06,5.43,0.64,10.52,5.9,0.16,2.7,2444460.19
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2023,6.22,5.43,0.79,12.73,5.9,0.32,5.22,2444460.19
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2024,6.39,5.43,0.95,14.92,5.9,0.49,7.61,2444460.19
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2025,6.55,5.44,1.11,16.98,5.9,0.65,9.88,2444460.19
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2026,6.71,5.42,1.28,19.14,5.9,0.81,12.05,2444460.19
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2027,6.87,5.43,1.44,21.02,5.9,0.97,14.11,2444460.19
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2028,6.87,5.42,1.45,21.06,5.9,0.97,14.11,2444460.19
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2029,6.87,5.42,1.45,21.05,5.9,0.97,14.11,2444460.19
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2030,6.87,5.42,1.45,21.09,5.9,0.97,14.11,2444460.19
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2031,6.87,5.42,1.45,21.07,5.9,0.97,14.11,2444460.19
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2032,6.87,5.42,1.45,21.14,5.9,0.97,14.11,2444460.19
comprehensive,Nonresidential equipment,c_corp,typical_equity,2022,6.06,5.38,0.68,11.25,5.9,0.16,2.7,3055575.24
comprehensive,Nonresidential equipment,c_corp,typical_equity,2023,6.22,5.39,0.84,13.44,5.9,0.32,5.22,3055575.24
comprehensive,Nonresidential equipment,c_corp,typical_equity,2024,6.39,5.39,1.0,15.64,5.9,0.49,7.61,3055575.24
comprehensive,Nonresidential equipment,c_corp,typical_equity,2025,6.55,5.39,1.16,17.68,5.9,0.65,9.88,3055575.24
comprehensive,Nonresidential equipment,c_corp,typical_equity,2026,6.71,5.38,1.33,19.86,5.9,0.81,12.05,3055575.24
comprehensive,Nonresidential equipment,c_corp,typical_equity,2027,6.87,5.38,1.49,21.73,5.9,0.97,14.11,3055575.24
comprehensive,Nonresidential equipment,c_corp,typical_equity,2028,6.87,5.37,1.5,21.8,5.9,0.97,14.11,3055575.24
comprehensive,Nonresidential equipment,c_corp,typical_equity,2029,6.87,5.37,1.5,21.77,5.9,0.97,14.11,3055575.24
comprehensive,Nonresidential equipment,c_corp,typical_equity,2030,6.87,5.37,1.5,21.83,5.9,0.97,14.11,3055575.24
comprehensive,Nonresidential equipment,c_corp,typical_equity,2031,6.87,5.37,1.5,21.79,5.9,0.97,14.11,3055575.24
comprehensive,Nonresidential equipment,c_corp,typical_equity,2032,6.87,5.37,1.5,21.87,5.9,0.97,14.11,3055575.24
comprehensive,Nonresidential equipment,c_corp,debt,2022,2.58,2.61,-0.03,-1.23,3.56,-0.98,-37.98,1709720.24
comprehensive,Nonresidential equipment,c_corp,debt,2023,2.67,2.63,0.04,1.33,3.56,-0.89,-33.55,1709720.24
comprehensive,Nonresidential equipment,c_corp,debt,2024,2.74,2.62,0.12,4.4,3.56,-0.82,-30.03,1709720.24
comprehensive,Nonresidential equipment,c_corp,debt,2025,2.81,2.62,0.19,6.65,3.56,-0.75,-26.65,1709720.24
comprehensive,Nonresidential equipment,c_corp,debt,2026,2.89,2.54,0.35,12.04,3.56,-0.67,-23.36,1709720.24
comprehensive,Nonresidential equipment,c_corp,debt,2027,2.97,2.54,0.42,14.29,3.56,-0.59,-20.0,1709720.24
comprehensive,Nonresidential equipment,c_corp,debt,2028,2.97,2.53,0.44,14.66,3.56,-0.59,-19.93,1709720.24
comprehensive,Nonresidential equipment,c_corp,debt,2029,2.97,2.54,0.44,14.64,3.56,-0.59,-19.83,1709720.24
comprehensive,Nonresidential equipment,c_corp,debt,2030,2.97,2.53,0.45,15.03,3.56,-0.59,-19.75,1709720.24
comprehensive,Nonresidential equipment,c_corp,debt,2031,2.98,2.53,0.45,14.99,3.56,-0.58,-19.62,1709720.24
comprehensive,Nonresidential equipment,c_corp,debt,2032,2.98,2.52,0.46,15.49,3.56,-0.58,-19.46,1709720.24
comprehensive,Nonresidential equipment,c_corp,typical (biz),2022,4.81,4.39,0.43,8.85,5.06,-0.25,-5.12,4765295.48
