"Total EMTRs by Industry, Legal Form, and Financing Source, 2022 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
,Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz)
Farms,11.07,-1.19,9.22,10.83,-2.28,9.14,10.87,-2.1,9.15
"Forestry, Fishing, and Related Activities",14.78,3.38,14.38,9.19,-5.71,8.64,10.53,-3.61,10.01
Oil and Gas Extraction,11.0,-1.7,9.93,2.75,-15.05,0.99,10.36,-2.91,9.22
Mining (Except Oil and Gas),16.73,5.59,15.6,13.13,-0.14,11.15,16.34,4.68,15.1
Support Activities for Mining,13.64,1.67,11.56,8.61,-6.55,6.49,13.01,0.84,10.94
Utilities,22.21,11.21,20.25,22.36,10.68,14.7,22.21,11.21,20.24
Construction,17.21,6.29,15.7,11.51,-2.55,10.52,13.59,2.3,12.5
"Food, Beverage, and Tobacco Product Manufacturing",20.59,9.94,18.93,20.21,9.68,19.17,20.52,9.91,18.97
Textile and Textile Product Mills,22.59,12.43,21.44,23.97,14.81,23.54,22.95,12.71,21.96
"Apparel, Leather, and Allied Products Manufacturing",23.87,13.08,21.69,25.81,16.8,25.25,25.0,14.08,23.61
Wood Product Manufacturing,22.09,12.73,20.24,22.19,12.97,21.43,22.13,12.78,20.69
Paper Manufacturing,18.4,7.07,16.93,18.36,7.05,16.61,18.4,7.07,16.9
Printing and Related Support Activities,18.82,6.89,12.69,18.62,7.0,17.65,18.7,6.9,14.84
Petroleum and Coal Products Manufacturing,19.01,6.67,17.91,21.12,10.52,19.93,19.07,6.8,17.96
Chemical Manufacturing,11.83,-7.42,9.56,13.79,-4.44,12.57,11.89,-7.37,9.65
Plastics and Rubber Products Manufacturing,19.0,7.13,16.59,19.31,8.1,18.36,19.08,7.23,16.99
Nonmetallic Mineral Product Manufacturing,17.91,3.96,16.53,18.97,6.3,17.76,18.04,4.23,16.68
Primary Metal Manufacturing,19.64,8.56,17.85,19.58,8.76,18.86,19.63,8.57,17.97
Fabricated Metal Product Manufacturing,19.45,7.95,17.78,18.37,6.94,17.81,19.01,7.78,17.79
Machinery Manufacturing,17.93,3.69,16.23,19.04,6.3,18.52,18.06,3.8,16.47
Computer and Electronic Product Manufacturing,13.52,-10.8,9.93,19.95,3.64,19.4,13.78,-10.68,10.26
"Electrical Equipment, Appliances, and Components Manufacturing",18.9,4.29,17.16,22.19,10.68,21.55,19.2,4.57,17.54
Motor Vehicle and Parts Manufacturing,16.02,-0.97,13.27,19.98,7.05,17.68,16.1,-0.77,13.38
Other Transportation Equipment Manufacturing,19.34,4.84,17.21,22.03,10.06,20.14,19.41,5.0,17.29
Furniture and Related Products Manufacturing,21.9,11.17,19.89,23.01,13.44,22.17,22.36,11.7,20.78
