"Total EMTRs by Asset Type, Legal Form, and Financing Source, 2022 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
,Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz)
Computers and peripheral equipment,9.25,-3.56,6.98,0.0,-18.71,-1.99,7.37,-5.43,5.27
Communication equipment,9.03,-3.9,6.88,0.0,-18.72,-2.6,8.23,-4.98,6.06
Nonelectronic medical instruments,8.79,-4.27,5.77,0.0,-18.78,-1.99,5.28,-7.29,2.94
Electronic medical instruments,8.89,-4.13,6.27,0.0,-18.77,-1.71,5.35,-7.2,3.33
Nonmedical instruments,11.69,1.07,10.05,0.01,-18.58,-1.92,7.52,-4.04,5.94
Photocopy and related equipment,9.1,-3.8,6.89,0.0,-18.74,-2.09,7.2,-5.87,5.11
Office and accounting equipment,9.49,-3.55,6.34,0.0,-18.71,-2.35,7.21,-5.44,4.47
Nuclear fuel,33.12,30.32,32.58,14.7,33.97,24.3,33.08,30.35,32.55
Other fabricated metal products,9.6,-2.89,7.64,0.0,-18.64,-1.68,7.72,-4.7,5.93
Steam engines,22.82,12.91,21.0,1.57,-3.01,0.57,22.6,12.7,20.77
Internal combustion engines,34.91,36.18,35.15,0.35,-8.46,-0.65,31.96,33.99,32.33
Metalworking machinery,8.84,-4.18,6.87,0.0,-18.76,-1.12,7.24,-5.25,5.55
"Special industrial machinery, n.e.c.",8.91,-4.06,6.88,0.0,-18.75,-1.69,7.61,-5.28,5.71
General industrial equipment,9.12,-3.63,7.3,0.0,-18.7,-1.72,7.71,-5.15,5.97
"Electric transmission, distribution and industrial apparatus",21.94,12.88,20.34,0.49,-9.44,-0.8,21.26,12.38,19.71
Light trucks (including utility vehicles),8.91,-4.19,4.92,0.0,-18.77,-2.11,6.01,-5.97,3.0
"Other trucks, buses, and truck trailers",8.97,-4.06,6.31,0.0,-18.77,-2.56,5.45,-8.24,3.0
Autos,8.87,-4.23,4.22,0.0,-18.77,-2.45,6.71,-5.41,2.93
Aircraft,8.92,-4.15,5.86,0.0,-18.76,-2.77,7.69,-5.37,4.77
Ships and boats,9.37,-3.52,7.16,0.0,-18.72,-2.31,7.68,-5.5,5.53
Railroad equipment,8.8,-4.27,5.03,0.0,-18.78,-3.15,7.84,-5.1,4.26
Household furniture,8.79,-4.27,5.2,0.0,-18.78,-4.91,5.04,-10.22,0.93
Other furniture and fixtures,8.96,-4.1,6.1,0.0,-18.77,-2.47,6.01,-7.16,3.48
Other agricultural machinery,8.79,-4.27,6.94,0.0,-18.78,-2.1,1.88,-14.95,-0.11
Farm tractors,8.81,-4.25,6.71,0.0,-18.78,-2.31,2.83,-13.08,0.67
Other construction machinery,9.43,-3.2,7.27,0.0,-18.74,-1.48,5.21,-7.13,3.58
Construction tractors,9.2,-3.68,6.71,0.0,-18.75,-1.54,5.34,-6.87,3.5
Mining and oilfield machinery,12.82,4.41,11.66,0.04,-17.76,-2.32,11.49,2.19,10.21
Service industry machinery,11.2,-1.02,8.73,0.01,-18.64,-2.73,7.7,-5.17,5.31
Household appliances,8.79,-4.27,6.02,0.0,-18.78,-2.69,4.88,-9.09,2.33
"Other electrical equipment, n.e.c",15.64,3.63,12.83,0.06,-17.34,-2.14,13.57,2.22,11.06
Other nonresidential equipment,9.34,-3.64,6.37,0.0,-18.74,-2.49,6.78,-6.11,4.15
Office and medical buildings,26.82,17.96,24.49,29.64,20.76,28.34,27.83,18.55,25.74
Hospitals and special care facilities,26.48,16.36,23.18,28.23,17.39,26.47,27.32,16.64,24.59
Warehouses,26.89,17.21,25.36,28.85,18.91,27.61,27.54,17.67,26.08
Mobile structures,8.8,-4.27,6.6,0.0,-18.78,-2.17,4.71,-9.48,2.66
Other commercial buildings,26.6,17.65,24.74,29.2,20.98,28.09,27.58,18.53,25.93
Manufacturing buildings,28.47,20.43,27.25,31.21,24.39,30.45,29.01,21.02,27.86
Electric power structures,21.28,9.16,19.14,1.76,-2.86,0.85,21.12,9.04,18.99
Wind and solar power structures,-5.97,-32.99,-10.08,-21.35,-67.04,-26.92,-8.21,-36.95,-12.45
Gas power structures,18.65,8.17,16.97,0.36,-15.37,-2.75,18.06,7.2,16.31
Petroleum pipelines,10.93,-0.94,9.4,0.02,-18.57,-3.73,9.85,-3.71,8.0
Communication structures,8.81,-4.25,6.92,0.0,-18.77,-4.59,8.67,-4.69,6.71
Depreciable petroleum and natural gas structures,8.81,-4.22,7.62,0.0,-18.77,-1.96,8.06,-5.63,6.79
Depreciable mining structures,8.83,-4.19,7.53,0.0,-18.77,-2.65,7.94,-6.26,6.46
Religious buildings,26.06,15.48,24.22,27.59,15.82,25.77,27.09,15.7,25.25
Educational and vocational buildings,26.42,16.24,24.74,28.14,17.18,27.03,27.29,16.59,25.86
Lodging buildings,27.39,18.24,24.01,29.6,20.69,27.2,28.76,19.49,25.88
Amusement and recreation buildings,27.02,17.59,24.81,29.66,20.41,27.61,28.08,18.68,25.92
Track replacement,8.79,-4.27,7.14,0.0,-18.78,-1.88,8.48,-4.68,6.82
Other railroad structures,8.79,-4.27,6.96,0.0,-18.78,-2.76,8.36,-5.02,6.49
Other transportation structures,26.07,16.19,24.15,25.6,15.18,23.43,25.98,15.99,24.01
Farm buildings,8.79,-4.27,6.78,0.0,-18.78,-2.42,1.78,-15.32,-0.51
Water supply and sewer and waste disposal facilities,16.65,3.38,14.0,0.04,-18.24,-2.53,13.29,0.3,10.85
"Public safety, highways, conservation, and development",10.1,-2.78,7.9,0.0,-18.73,-2.14,6.43,-6.98,4.4
Oil and gas exploration (geological and geophysical)--integrated,19.77,9.26,18.87,NA,NA,NA,19.77,9.26,18.87
Oil and gas exploration (geological and geophysical)--independent,12.68,0.32,11.63,6.72,-9.33,5.13,11.91,-1.12,10.78
Oil and gas development (intangible drilling costs)--integrated,11.52,-0.95,10.46,NA,NA,NA,11.52,-0.95,10.46
Oil and gas development (intangible drilling costs)--independent,8.79,-4.27,7.69,0.0,-18.78,-1.84,7.69,-6.37,6.48
Other mineral exploration--C corps,19.74,8.08,18.62,NA,NA,NA,19.74,8.08,18.62
Other mineral exploration--pass-throughs,NA,NA,NA,18.08,4.6,16.26,18.08,4.6,16.26
Other mineral development--C corps,10.86,-2.05,9.62,NA,NA,NA,10.86,-2.05,9.62
Other mineral development--pass-throughs,NA,NA,NA,0.0,-18.78,-2.48,0.0,-18.78,-2.48
Prepackaged software,10.09,-2.57,7.48,0.03,-18.1,-2.31,9.34,-3.25,6.81
Custom software,9.09,-3.86,6.63,0.01,-18.55,-2.11,8.58,-4.33,6.18
Credit-eligible own account software,-32.82,-2048.96,-59.16,-16.84,-2360.27,-31.18,-30.22,-2074.73,-54.64
Other own-account software,32.88,29.75,32.03,37.59,39.51,37.89,33.8,30.81,33.05
Credit-eligible research and development,-10.13,-105.04,-19.18,-9.6,-148.21,-15.16,-10.09,-106.46,-18.88
Other research and development,22.9,15.81,21.81,25.38,20.82,25.0,23.05,15.97,21.99
Theatrical movies,8.79,-4.27,4.93,-0.0,-18.78,-6.36,8.75,-4.36,4.87
Long-lived television programs,8.79,-4.27,6.36,0.0,-18.78,-4.93,8.65,-4.62,6.17
Books,26.09,18.06,24.18,7.89,-7.43,4.42,22.91,13.82,20.77
Music,27.6,17.59,24.63,7.39,-8.68,3.69,18.26,7.63,15.42
Other entertainment originals,25.9,18.08,24.62,10.73,-6.84,7.17,20.45,7.6,18.15
Reserved for non-BEA intangibles,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reserved for non-BEA intangibles,NA,NA,NA,NA,NA,NA,NA,NA,NA
Residential equipment,8.79,-4.27,6.66,0.0,-18.78,-2.91,2.15,-15.07,-0.56
Residential buildings,25.78,15.77,24.14,27.22,16.96,25.57,26.9,16.69,25.25
Inventories,30.76,24.96,29.91,30.21,24.78,29.71,30.55,24.91,29.84
Land,27.94,17.62,25.93,30.36,17.28,28.56,29.33,17.46,27.4
Reserved for non-BEA natural resources,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reserved for non-BEA natural resources,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reserved for non-BEA natural resources,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonresidential equipment,11.25,-1.23,8.85,0.01,-18.53,-2.11,8.76,-3.55,6.59
Nonresidential structures,20.24,12.21,18.83,24.29,14.86,22.85,21.23,12.78,19.8
Residential property,25.62,15.58,23.97,26.98,16.66,25.33,26.68,16.42,25.02
R&D and own-account software,-0.51,-55.15,-6.77,0.03,-73.52,-4.02,-0.46,-55.84,-6.56
Other intellectual property products,10.95,-1.29,8.33,4.28,-11.71,1.36,10.49,-1.89,7.87
"All equipment, structures, IPP, and inventories",17.63,5.95,15.62,22.46,12.38,21.04,19.18,7.7,17.32
"All equipment, structures, IPP, inventories, and land",19.02,7.75,17.05,24.89,13.85,23.34,21.2,9.65,19.33
"All equipment, structures, and inventories",19.69,10.0,17.99,22.93,13.06,21.53,20.81,10.89,19.18
"All equipment, structures, inventories, and land",20.94,11.29,19.22,25.25,14.34,23.72,22.64,12.29,20.95
