"Total EMTRs by Asset Type, Legal Form, and Financing Source, 2021 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
,Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz)
Computers and peripheral equipment,9.41,-8.22,6.58,0.0,-24.81,-2.31,7.5,-10.22,4.88
Communication equipment,9.2,-8.6,6.53,0.0,-24.81,-3.02,8.39,-9.75,5.72
Nonelectronic medical instruments,9.0,-9.07,5.2,0.0,-24.89,-2.31,5.4,-12.29,2.44
Electronic medical instruments,9.08,-8.91,5.81,0.0,-24.88,-1.98,5.47,-12.18,2.93
Nonmedical instruments,11.62,-2.92,9.58,0.01,-24.65,-2.23,7.47,-8.44,5.51
Photocopy and related equipment,9.27,-8.46,6.53,0.0,-24.84,-2.42,7.33,-10.67,4.75
Office and accounting equipment,9.62,-8.2,5.71,0.0,-24.81,-2.73,7.31,-10.22,3.88
Nuclear fuel,31.54,29.86,31.23,13.53,35.07,23.88,31.5,29.9,31.21
Other fabricated metal products,9.71,-7.44,7.29,0.0,-24.72,-1.94,7.81,-9.38,5.59
Steam engines,21.56,12.04,19.91,1.39,-4.69,0.18,21.34,11.82,19.69
Internal combustion engines,33.39,35.27,33.72,0.32,-12.86,-1.01,30.51,33.01,30.94
Metalworking machinery,9.04,-8.96,6.59,0.0,-24.87,-1.29,7.41,-10.1,5.28
"Special industrial machinery, n.e.c.",9.1,-8.82,6.57,0.0,-24.85,-1.95,7.77,-10.12,5.4
General industrial equipment,9.29,-8.32,7.03,0.0,-24.8,-1.99,7.85,-9.93,5.7
"Electric transmission, distribution and industrial apparatus",20.77,11.71,19.27,0.44,-12.93,-1.11,20.12,11.19,18.66
Light trucks (including utility vehicles),9.1,-8.96,4.06,0.0,-24.88,-2.44,6.15,-10.85,2.26
"Other trucks, buses, and truck trailers",9.15,-8.79,5.84,0.0,-24.88,-2.97,5.56,-13.27,2.55
Autos,9.06,-9.01,3.16,0.0,-24.88,-2.85,6.85,-10.26,1.97
Aircraft,9.11,-8.89,5.28,0.0,-24.87,-3.23,7.85,-10.19,4.2
Ships and boats,9.5,-8.03,6.78,0.0,-24.8,-2.68,7.79,-10.16,5.15
Railroad equipment,9.0,-9.06,4.23,0.0,-24.89,-3.68,8.02,-9.94,3.48
Household furniture,8.99,-9.07,4.46,0.0,-24.89,-5.82,5.16,-15.45,0.14
Other furniture and fixtures,9.14,-8.84,5.57,0.0,-24.88,-2.87,6.14,-12.11,2.98
Other agricultural machinery,8.99,-9.07,6.69,-0.0,-24.89,-2.43,1.93,-20.62,-0.42
Farm tractors,9.01,-9.04,6.4,0.0,-24.89,-2.68,2.89,-18.57,0.32
Other construction machinery,9.57,-7.84,6.88,0.0,-24.84,-1.71,5.29,-12.04,3.24
Construction tractors,9.37,-8.39,6.26,0.0,-24.86,-1.77,5.44,-11.8,3.12
Mining and oilfield machinery,12.65,0.81,11.17,0.04,-23.67,-2.72,11.34,-1.56,9.74
Service industry machinery,11.18,-5.34,8.14,0.01,-24.73,-3.18,7.68,-9.8,4.75
Household appliances,8.99,-9.07,5.53,0.0,-24.89,-3.13,5.0,-14.23,1.85
