"Values by Industry and Asset Aggregate, 2024 (Percent)"
,Nonresidential equipment,Nonresidential structures,Residential property,R&D and own-account software,Other intellectual property products,Inventories,"All equipment, structures, IPP, and inventories",Land,"All equipment, structures, IPP, inventories, and land"
Farms,3.67,0.11,NA,NA,10.95,28.8,7.89,27.75,23.32
"Forestry, Fishing, and Related Activities",5.25,21.71,NA,NA,12.93,28.88,13.3,27.72,16.25
Oil and Gas Extraction,13.87,12.15,NA,7.03,18.38,29.75,12.15,27.75,14.27
Mining (Except Oil and Gas),8.54,13.37,NA,0.21,2.78,30.12,13.28,27.9,16.58
Support Activities for Mining,12.59,21.76,NA,8.27,18.33,30.24,17.86,28.21,18.65
Electric Power,20.98,9.4,NA,3.8,17.14,28.7,13.25,25.73,13.69
Natural Gas Distribution,18.55,19.88,NA,7.01,18.93,29.87,19.73,27.21,19.83
"Water, Sewage and Other Systems",21.64,20.54,NA,4.93,17.75,29.08,20.71,26.17,21.27
Construction,6.43,21.74,NA,5.23,16.08,29.38,15.89,27.93,21.05
Food Manufacturing,10.91,28.08,NA,1.28,18.21,29.53,21.72,27.13,21.88
Beverage and Tobacco Products Manufacturing,8.28,25.86,NA,-5.35,15.01,27.79,19.63,24.95,19.94
Textile and Textile Product Mills,12.29,28.59,NA,2.86,18.59,29.93,24.45,27.86,24.54
"Apparel, Leather, and Allied Products Manufacturing",9.63,27.69,NA,-0.21,17.18,29.06,24.21,27.14,24.33
Wood Product Manufacturing,12.36,28.48,NA,1.61,17.77,29.6,23.84,28.12,24.43
Paper Manufacturing,12.07,27.53,NA,0.63,17.74,29.37,20.24,26.84,20.53
Printing and Related Support Activities,9.01,27.54,NA,-3.47,15.54,28.36,20.33,25.94,20.39
Petroleum and Coal Products Manufacturing,14.1,26.9,NA,2.18,18.36,29.9,21.5,27.22,23.35
Chemical Manufacturing,12.29,27.98,NA,2.17,18.72,29.91,13.02,27.29,13.72
