"Total EMTRs by Industry, Legal Form, and Financing Source, 2021 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
,Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz)
Farms,11.31,-5.61,9.0,11.04,-5.86,9.1,11.07,-5.81,9.09
"Forestry, Fishing, and Related Activities",15.02,-0.56,14.53,9.24,-9.98,8.61,10.62,-7.76,10.03
Oil and Gas Extraction,11.07,-6.46,9.75,2.48,-21.27,0.44,10.4,-7.77,9.01
Mining (Except Oil and Gas),16.82,1.63,15.44,12.97,-4.11,10.71,16.41,0.73,14.91
Support Activities for Mining,13.67,-2.87,11.07,8.36,-11.62,5.89,12.99,-3.73,10.44
Utilities,20.8,10.41,19.05,20.02,12.44,15.14,20.8,10.42,19.05
Construction,17.13,2.01,15.26,11.23,-7.25,10.09,13.39,-2.12,12.06
"Food, Beverage, and Tobacco Product Manufacturing",19.83,4.77,17.71,19.42,5.36,18.2,19.76,4.83,17.8
Textile and Textile Product Mills,21.94,7.69,20.49,23.32,11.29,22.82,22.3,8.13,21.07
"Apparel, Leather, and Allied Products Manufacturing",22.14,6.3,19.25,24.57,12.15,23.88,23.55,7.86,21.78
Wood Product Manufacturing,22.21,9.48,19.92,22.22,10.71,21.37,22.21,9.73,20.47
Paper Manufacturing,17.62,1.58,15.75,17.3,1.81,15.17,17.59,1.6,15.7
Printing and Related Support Activities,17.5,0.26,9.2,17.38,1.35,16.21,17.43,0.38,12.34
Petroleum and Coal Products Manufacturing,17.08,-1.18,15.65,19.39,4.16,17.9,17.15,-1.0,15.71
Chemical Manufacturing,5.49,-25.95,2.29,5.95,-27.28,4.13,5.5,-25.97,2.35
Plastics and Rubber Products Manufacturing,17.49,0.17,14.32,17.82,1.99,16.65,17.57,0.36,14.85
Nonmetallic Mineral Product Manufacturing,15.0,-6.38,13.14,15.99,-3.57,14.38,15.12,-6.05,13.29
Primary Metal Manufacturing,18.76,3.01,16.47,18.64,3.99,17.78,18.74,3.06,16.63
Fabricated Metal Product Manufacturing,18.11,1.45,15.95,17.17,1.36,16.49,17.72,1.43,16.16
Machinery Manufacturing,14.63,-7.54,12.31,15.75,-4.39,15.04,14.76,-7.42,12.6
Computer and Electronic Product Manufacturing,3.35,-45.95,-2.56,11.44,-23.98,10.52,3.68,-45.77,-2.08
"Electrical Equipment, Appliances, and Components Manufacturing",15.08,-8.09,12.67,18.91,0.6,18.03,15.43,-7.72,13.14
Motor Vehicle and Parts Manufacturing,11.11,-17.43,7.13,15.72,-6.62,12.33,11.21,-17.16,7.25
Other Transportation Equipment Manufacturing,15.33,-7.93,12.34,17.98,-2.05,15.26,15.4,-7.75,12.42
Furniture and Related Products Manufacturing,20.7,5.26,18.1,22.05,9.11,21.05,21.27,6.15,19.26
Miscellaneous Manufacturing,13.67,-11.22,10.45,16.84,-3.83,16.12,14.27,-10.83,11.43
Wholesale Trade,24.79,12.63,23.75,27.43,18.54,26.88,25.52,13.87,24.59
Retail Trade,24.34,11.73,22.17,26.52,16.64,25.8,25.06,12.5,23.28
Air Transportation,13.92,-2.82,10.89,9.27,-10.66,4.05,13.7,-3.4,10.54
Rail Transportation,9.11,-9.0,7.06,0.53,-24.06,-1.58,8.81,-9.4,6.76
Water Transportation,11.63,-5.62,9.09,4.37,-18.17,1.7,10.43,-7.3,7.9
Truck Transportation,13.02,-3.73,10.18,7.28,-13.25,4.49,10.19,-7.82,7.42
Transit and Ground Passenger Transportation,18.24,3.07,15.34,15.24,-1.86,11.33,17.02,0.79,13.66
Pipeline Transportation,7.85,-12.18,5.63,-0.34,-27.75,-5.72,6.76,-15.78,3.99
Other Transportation and Support Activities,13.01,-4.38,9.6,8.44,-12.33,4.39,12.42,-5.4,8.93
Warehousing and Storage,22.55,8.61,21.14,23.27,10.23,21.43,22.71,9.08,21.21
Publishing Industries (Except Internet),-0.51,-59.12,-10.21,-7.86,-120.85,-15.53,-0.84,-60.16,-10.43
Motion Picture and Sound Recording Industries,14.13,-1.89,9.77,23.23,10.4,19.12,14.49,-1.28,10.17
Broadcasting (Except Internet) and Telecommunications,10.05,-8.98,7.58,3.13,-21.95,-3.06,9.97,-9.33,7.43
"Data Processing, Hosting, and Other Information Services",2.18,-41.24,-0.45,-3.57,-69.93,-14.26,2.12,-42.21,-0.63
Credit Intermediation and Related Activities,17.44,1.83,9.89,14.39,-3.35,7.73,17.29,1.66,9.8
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",20.53,5.01,14.48,22.62,8.16,20.09,21.22,5.45,15.97
Insurance Carriers and Related Activities,20.49,5.0,17.94,20.76,5.09,20.29,20.51,5.0,18.09
"Funds, Trusts, and Other Financial Vehicles",26.62,14.06,22.45,28.65,17.54,27.19,27.59,14.82,24.41
Real Estate,25.7,12.65,23.75,26.9,14.81,25.15,26.63,14.31,24.83
Rental and Leasing (Including Nonfinancial Intangibles),10.59,-6.92,6.62,4.38,-17.58,2.13,8.92,-8.25,5.54
"Professional, Scientific, and Technical Services",5.2,-36.87,0.95,5.94,-39.91,4.15,5.49,-37.46,2.17
Management of Companies and Enterprises,22.23,7.19,16.15,24.14,10.21,16.12,22.31,7.42,16.15
Administrative and Support Services,12.65,-8.19,9.49,11.4,-10.72,9.36,12.04,-9.08,9.43
Waste Management and Remediation Services,12.83,-3.92,9.08,7.46,-12.83,4.68,11.58,-5.19,8.14
Educational Services,23.85,8.59,21.72,25.57,10.83,24.77,24.76,9.22,23.25
Ambulatory Health Care Services,18.52,1.67,15.18,18.0,0.93,16.37,18.23,1.42,15.79
Hospitals,22.65,8.12,18.37,22.57,7.35,21.75,22.63,8.09,18.95
Nursing and Residential Care Facilities,22.37,6.98,9.28,22.91,7.4,14.47,22.76,7.12,11.6
Social Assistance,23.41,9.17,18.58,24.75,11.48,22.41,24.39,10.4,21.2
"Performing Arts, Spectator Sports, Museums, and Related Activities",23.81,10.33,21.67,16.49,0.64,13.16,20.43,5.03,17.61
"Amusement, Gambling, and Recreation Services",23.33,10.01,19.36,23.71,11.11,18.74,23.41,10.34,19.2
Accommodation,26.14,13.47,21.17,27.8,16.41,24.32,27.1,14.9,22.9
Food Services and Drinking Places,22.48,9.03,19.23,22.28,9.23,20.32,22.37,9.11,19.79
Other Services (Except Public Administration),23.38,8.6,21.06,24.32,9.69,22.29,24.0,9.29,21.87
Owner-occupied Housing,NA,NA,NA,NA,NA,NA,NA,NA,NA
All Industries,16.07,-0.14,13.55,21.98,9.41,20.39,17.99,2.48,15.72
