"Key Model Metrics, by Asset Aggregate, Legal Form, and Financing Source, 2024 - 2034 (returns and EMTRs are in percent; tax wedges are in percentage points; weights are in millions of dollars)"
weighting_method,asset_aggs,legal_forms,financing,year,req_before_tax_returns,req_after_tax_returns_savers,total_tax_wedges,total_EMTRs,req_after_tax_returns_investors,c_corp_tax_wedges,c_corp_EMTRs,weights
comprehensive,Nonresidential equipment,c_corp,new_equity,2024,6.51,5.47,1.03,15.88,6.2,0.31,4.71,1945104.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2025,6.69,5.47,1.22,18.17,6.2,0.49,7.3,1945104.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2026,6.87,5.46,1.41,20.53,6.2,0.67,9.75,1945104.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2027,7.12,5.47,1.65,23.23,6.2,0.92,12.9,1945104.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2028,7.13,5.46,1.66,23.36,6.2,0.93,13.0,1945104.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2029,7.15,5.47,1.68,23.47,6.2,0.95,13.27,1945104.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2030,7.18,5.46,1.72,23.93,6.2,0.98,13.63,1945104.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2031,7.18,5.46,1.72,24.0,6.2,0.98,13.66,1945104.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2032,7.18,5.45,1.73,24.1,6.2,0.98,13.67,1945104.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2033,7.18,5.45,1.73,24.13,6.2,0.98,13.67,1945104.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2034,7.18,5.44,1.74,24.2,6.2,0.98,13.67,1945104.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2024,6.62,5.69,0.93,14.05,6.2,0.42,6.41,1945104.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2025,6.81,5.7,1.11,16.31,6.2,0.61,8.92,1945104.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2026,6.99,5.69,1.3,18.59,6.2,0.79,11.31,1945104.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2027,7.24,5.7,1.55,21.34,6.2,1.04,14.37,1945104.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2028,7.25,5.69,1.55,21.44,6.2,1.05,14.47,1945104.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2029,7.27,5.7,1.57,21.65,6.2,1.07,14.72,1945104.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2030,7.3,5.69,1.61,22.04,6.2,1.1,15.08,1945104.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2031,7.3,5.69,1.62,22.11,6.2,1.1,15.11,1945104.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2032,7.3,5.69,1.62,22.13,6.2,1.1,15.12,1945104.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2033,7.3,5.69,1.62,22.15,6.2,1.1,15.12,1945104.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2034,7.3,5.68,1.62,22.2,6.2,1.1,15.12,1945104.05
comprehensive,Nonresidential equipment,c_corp,typical_equity,2024,6.57,5.58,0.98,14.96,6.2,0.37,5.56,3890208.1
comprehensive,Nonresidential equipment,c_corp,typical_equity,2025,6.75,5.58,1.16,17.23,6.2,0.55,8.12,3890208.1
comprehensive,Nonresidential equipment,c_corp,typical_equity,2026,6.93,5.58,1.35,19.55,6.2,0.73,10.54,3890208.1
comprehensive,Nonresidential equipment,c_corp,typical_equity,2027,7.18,5.58,1.6,22.28,6.2,0.98,13.64,3890208.1
comprehensive,Nonresidential equipment,c_corp,typical_equity,2028,7.19,5.58,1.61,22.39,6.2,0.99,13.74,3890208.1
comprehensive,Nonresidential equipment,c_corp,typical_equity,2029,7.21,5.58,1.63,22.55,6.2,1.01,14.0,3890208.1
comprehensive,Nonresidential equipment,c_corp,typical_equity,2030,7.24,5.58,1.66,22.98,6.2,1.04,14.36,3890208.1
comprehensive,Nonresidential equipment,c_corp,typical_equity,2031,7.24,5.57,1.67,23.05,6.2,1.04,14.39,3890208.1
comprehensive,Nonresidential equipment,c_corp,typical_equity,2032,7.24,5.57,1.67,23.11,6.2,1.04,14.4,3890208.1
comprehensive,Nonresidential equipment,c_corp,typical_equity,2033,7.24,5.57,1.68,23.13,6.2,1.04,14.4,3890208.1
comprehensive,Nonresidential equipment,c_corp,typical_equity,2034,7.24,5.56,1.68,23.19,6.2,1.04,14.4,3890208.1
comprehensive,Nonresidential equipment,c_corp,debt,2024,3.15,3.29,-0.14,-4.4,4.21,-1.06,-33.68,2083099.53
comprehensive,Nonresidential equipment,c_corp,debt,2025,3.24,3.29,-0.05,-1.5,4.21,-0.97,-30.04,2083099.53
comprehensive,Nonresidential equipment,c_corp,debt,2026,3.32,3.23,0.09,2.85,4.21,-0.89,-26.79,2083099.53
comprehensive,Nonresidential equipment,c_corp,debt,2027,3.47,3.23,0.23,6.76,4.21,-0.74,-21.44,2083099.53
comprehensive,Nonresidential equipment,c_corp,debt,2028,3.47,3.23,0.24,7.05,4.21,-0.74,-21.22,2083099.53
comprehensive,Nonresidential equipment,c_corp,debt,2029,3.49,3.24,0.25,7.22,4.21,-0.72,-20.72,2083099.53
comprehensive,Nonresidential equipment,c_corp,debt,2030,3.51,3.23,0.27,7.84,4.21,-0.7,-20.09,2083099.53
comprehensive,Nonresidential equipment,c_corp,debt,2031,3.5,3.22,0.28,8.02,4.21,-0.71,-20.12,2083099.53
comprehensive,Nonresidential equipment,c_corp,debt,2032,3.5,3.22,0.28,8.1,4.21,-0.71,-20.22,2083099.53
comprehensive,Nonresidential equipment,c_corp,debt,2033,3.5,3.22,0.28,8.09,4.21,-0.71,-20.32,2083099.53
comprehensive,Nonresidential equipment,c_corp,debt,2034,3.5,3.21,0.29,8.24,4.21,-0.71,-20.33,2083099.53
comprehensive,Nonresidential equipment,c_corp,typical (biz),2024,5.37,4.78,0.59,11.0,5.51,-0.13,-2.46,5973307.63
comprehensive,Nonresidential equipment,c_corp,typical (biz),2025,5.52,4.78,0.74,13.4,5.51,0.02,0.32,5973307.63
comprehensive,Nonresidential equipment,c_corp,typical (biz),2026,5.67,4.76,0.92,16.14,5.51,0.17,2.92,5973307.63
comprehensive,Nonresidential equipment,c_corp,typical (biz),2027,5.88,4.76,1.12,19.09,5.51,0.38,6.43,5973307.63
comprehensive,Nonresidential equipment,c_corp,typical (biz),2028,5.89,4.76,1.13,19.24,5.51,0.39,6.56,5973307.63
comprehensive,Nonresidential equipment,c_corp,typical (biz),2029,5.91,4.76,1.15,19.4,5.51,0.41,6.86,5973307.63
comprehensive,Nonresidential equipment,c_corp,typical (biz),2030,5.94,4.76,1.18,19.86,5.51,0.43,7.27,5973307.63
comprehensive,Nonresidential equipment,c_corp,typical (biz),2031,5.94,4.75,1.19,19.95,5.51,0.43,7.29,5973307.63
comprehensive,Nonresidential equipment,c_corp,typical (biz),2032,5.94,4.75,1.19,20.02,5.51,0.43,7.28,5973307.63
comprehensive,Nonresidential equipment,c_corp,typical (biz),2033,5.94,4.75,1.19,20.04,5.51,0.43,7.26,5973307.63
comprehensive,Nonresidential equipment,c_corp,typical (biz),2034,5.94,4.74,1.19,20.12,5.51,0.43,7.26,5973307.63
comprehensive,Nonresidential equipment,c_corp,typical (biz+ooh),2024,5.37,4.78,0.59,11.0,5.51,-0.13,-2.46,5973307.63
